extensions;contractions
alright;a'ight
am not;ain't
are not;ain't
aren't you;arencha
are not you ;arencha 
about;bout 
boy has;boy's
boy is;boy's
cannot;can't
captain;cap'n 
because;cause 
except;cept 
could have;could've
could not;couldn't
could not have;couldn't've
cup of;cuppa
did not;didn't
does not;doesn't
do not;don't
don't know;dunno 
do not know;dunno 
even;e'en 
ever;e'er 
them;em 
everybody has;everybody's
everyone is;everyone's
everything has;everything's
everything is;everything's
fixing to;finna 
forecastle;fo'c'sle 
against;gainst 
good day;g'day 
give me;gimme 
girl has;girl's
girl is;girl's
given;giv'n 
give us;gi'z 
going to;gonna 
go not ;gon't 
got to;gotta 
guy has;guy's
guy is;guy's
had not;hadn't
had have;had've
has not;hasn't
have not;haven't
he had;he'd
he would;he'd
he will;he'll
he shall;he'll
hell of a;helluva 
he has;he's
he is;he's
here is;here's
how did;how'd 
how would;how'd 
how do you do;howdy 
how do you fare;howdy 
how will;how'll
how shall;how'll
how are;how're
how has;how's
how is;how's
how does;how's
I had;I'd
I would;I'd
I would have;I'd've
I would not;I'd'nt
I would not have;I'd'nt've
If and when;If'n 
I shall;I'll
I will;I'll
I am;I'm
I am going to;Imma 
I am about to;Imma 
isn't it;innit 
ain't it;innit 
I don't;Ion 
I do not;Ion 
I have;I've
is not;isn't
it would;it'd
it shall;it'll
it will;it'll
it is;it's
it has;it's
I don't know;Idunno 
kind of;kinda 
let us;let's
love not ;loven't 
madam;ma'am
may not;mayn't
may have;may've
I think;methinks 
might not;mightn't
might have;might've
mine is;mine's
must not;mustn't
must not have;mustn't've
must have;must've
beneath;neath 
need not;needn't
and all;nal 
never;ne'er 
of the clock;o'clock
over;o'er
old;ol'
ought have;ought've
ought not;oughtn't
ought not have;oughtn't've
around;round
she had;she'd
she would;she'd
she will;she'll
she shall;she'll
she has;she's
she is;she's
should have;should've
should not;shouldn't
should not have;shouldn't've 
somebody has;somebody's
somebody is;somebody's
someone is;someone's
someone has;someone's
something has;something's
something is;something's
so are ;so're 
so is;so's 
so has;so's 
so have;so've 
that shall;that'll
that will;that'll
that are;that're 
that has;that's
that is;that's
that had;that'd
that would;that'd
there had;there'd
there would;there'd
there shall;there'll
there will;there'll
there are;there're
there has;there's
there is;there's
these are;these're
these have;these've
they had;they'd
they would;they'd
they would have;they'd've
they could have;they'd've
they should have;they'd've
they shall;they'll
they will;they'll
they are;they're
they were;they're
they have;they've
this has;this's
this is;this's
those are;those're 
those have;those've 
without;thout 
until;til 
to have;to've 
trying to;tryna 
it was;twas 
between;tween 
it were;twere 
we at;w'at
want to;wanna
was not;wasn't
we had;we'd
we would;we'd
we did;we'd
we would have;we'd've
we shall;we'll
we will;we'll
we are;we're
we have;we've
were not;weren't
what did;what'd
what shall;what'll
what will;what'll
what are;what're
what were;what're
what has;what's
what is;what's
what does;what's
what have;what've
when has;when's
when is;when's
where did;where'd
where shall;where'll
where will;where'll
where are;where're
where has;where's
where is;where's
where does;where's
where have;where've
which had;which'd
which would;which'd
which will;which'll
which shall;which'll
which are;which're
which is;which's
which has;which's
which have;which've
who would;who'd
who had;who'd
who did;who'd
who would have;who'd've
who will;who'll
who shall;who'll
who are;who're
who has;who's
who is;who's
who does;who's
who have;who've
why did;why'd
why are;why're
why has;why's
why is;why's
why does;why's
will not;won't
would have;would've
would not;wouldn't
would not have;wouldn't've
you are not;y'ain't
you have not;y'ain't
you did not ;y'ain't
you all;y'all
you all would have;y'all'd've
you all would not have;y'all'd'n't've
you all are;y'all're
you all are not;y'all'ren't
you at;y'at 
yes madam;yes'm
you know;y'know
yes sir;yessir
you had;you'd
you would;you'd
you shall;you'll
you will;you'll
you are;you're
you have;you've
when did;when'd
