contractions;extensions
a'ight;alright
arencha;are not you
aren't;are not
bout ;about
can't;cannot
cap'n ;captain
cause ;because
cuz ;because
cept ;except
could've;could have
couldn't;could not
couldn't've;could not have
cuppa;cup of
daresn't;dare not
dasn't;dare not
didn't;did not
doesn't;does not
dunno ;do not know
e'en ;even
e'er ;ever
em ;them
finna ;fixing to
fo'c'sle ;forecastle
gainst ;against
g'day ;good day
gimme ;give me
giv'n ;given
gi'z ;give us
gonna ;going to
gon't ;go not 
gotta ;got to
hadn't;had not
had've;had have
hasn't;has not
haven't;have not
helluva ;hell of a
here's;here is
how're;how are
I'd've;I would have
I'd'nt;I would not
I'd'nt've;I would not have
If'n ;If and when
I'm;I am
Imma ;I am about to
I'm'o ;I am going to
I've;I have
isn't;is not
it'd;it would
Idunno ;I don't know
kinda ;kind of
let's;let us
loven't ;love not 
ma'am;madam
mayn't;may not
may've;may have
methinks ;I think
mightn't;might not
might've;might have
mine's;mine is
mustn't;must not
mustn't've;must not have
must've;must have
neath ;beneath
needn't;need not
nal ;and all
ne'er ;never
o'clock;of the clock
o'er;over
ol';old
ought've;ought have
oughtn't;ought not
oughtn't've;ought not have
round;around
shan';shall not
shan't;shall not
should've;should have
shouldn't;should not
shouldn't've ;should not have
so're ;so are 
so've ;so have
that're ;that are
there're;there are
these're;these are
these've;these have
they've;they have
those're ;those are
those've ;those have
thout ;without
til ;until
tis ;it is
to've ;to have
tryna ;trying to
twas ;it was
tween ;between
twere ;it were
w'at;we at
wanna;want to
wasn't;was not
we'd've;we would have
we're;we are
we've;we have
weren't;were not
whatcha;what are you doing
what'd;what did
what've;what have
where'd;where did
where're;where are
where've;where have
which're;which are
which've;which have
who'd've;who would have
who're;who are
who've;who have
why'd;why did
why're;why are
willn't;will not
won't;will not
wonnot;will not
would've;would have
wouldn't;would not
wouldn't've;would not have
y'all;you all
y'all'd've;you all would have
y'all'd'n't've;you all would not have
y'all're;you all are
y'all'ren't;you all are not
y'at ;you at
yes'm;yes madam
y'know;you know
yessir;yes sir
you're;you are
you've;you have
when'd;when did
