error,correction
([pP])eer\s+([rR])eviewed,"\1eer-\2eviewed"""
"\bGeneral(?<=(?:[;,]|\s[a-z]+)\s+\w+)\s+[eE]lection(?=[,;\)\.]|\s+[a-z])",general election
\b([pP])rinciple\s+(cinematography|photography)\b,\1rincipal \2
\b([Ff])ianna\s+([Ff])ail\b,Fianna Fáil
\b([oO])ff+er(?:er?|r)(ed|ing|s)\b,\1ffer\2
\b([fF])ianc[e\u00E9]\u00E9,\1iancée
\b([rR])erefence(s?)\b,\1eference\2
\b([fF])ull\s+page(?=\s+(?:ad(?:vert(?:isement)?)?s?|article|color|feature|illustration|newspaper|p(?:hotograph|icture)|review|s(?:pread|tory))\b),\1ull-page
\b([mM])ar(?:it|ti)me\b,\1aritime
\bpremier\b(?<=(?:film|movie)\s+\w+),premiere
"\bpremier(?=\s{1,99}(?:episode|screening))",premiere
"\ball[-–]time(?<=\sof\s+all[-–]time)(?=(?:[,\.\)]|\s+(?:by|in)\s))",all time
"\bU\.S(?=[\s,])(?<=\sU\.S)",U.S.
</ref>([A-Za-z\d]),</ref> \1
"(?<=[a-z\.,;]) \<ref","<ref"""
"\b([uU]n(?:acc|c))red(?:it{2,}|t)ed\b","\1redited"""
\bsuch\s+us\b,such as
"\bDep(artment|uty)\b(?<=(?:(?:\bAs|The|\s[a-z]+|[-–;,])\s+|\()\w+)\s+[cC]hair(m[ae]n|persons?|wom[ae]n)?\b(?=(?:\s+of\s+the(?:\s+[aA]dvisory)?\s+[bB]oard\b|\s+(?:a(?:fter|nd|t)|b(?:etween|y)|during|f(?:or|rom)|i[ns]|on|since|to|until|w(?:as|ith))\s|[,;\.\)])|\s+[a-z]+[,;\.\)]|\s+[io]n\s|\s+of\s+the\s+[a-z]|(?:\s+[a-z]+){3,}|['’´]s\s+[a-z])",dep\1 chair\2
\b(\d+)[-\s]+and[-\s]+a[-\s]+half(?<=\s\d+[-\s]+and[-\s]+a[-\s]+half)[-\s]+(?=(?:centuries|d(?:ays|ecades)|feet|hours|m(?:i(?:l(?:es|lennia)|nutes)|onths)|s(?:e(?:asons|conds|mesters)|tars)|points|weeks|years)\b),"{{frac|\1|1|2}} """
\b[\[\(]sic[\]\)]\b,"{{sic}}"""
<!--[ ]*[dD]ummy(?:[^-]|-(?!->))*-->,
"\bpurpose\s+built(?=\s+(?:arenas?|buildings?|c(?:ampus|lubhouse|om(?:munity|plex))|depot|f(?:ac(?:ilit(?:ies|y)|tor(?:ies|y))|o(?:otball|r))|g(?:a(?:llery|rage)|round)|location|m(?:osques?|useum)|new|offices?|premises|road|s(?:chool|et|ite|t(?:a(?:dium|ge)|ore|rip|udios?))|t(?:heatre|raining)|unit)\b)|purpose(?<=(?:,|\b(?:[aA]|first|its|new|[tT]he))\s+\w+)\s+built\b",purpose-built
\b([lL])engthly\b,\1engthy
\b(\d\d?|e(?:ight(?:een|y?)|leven)|f(?:i(?:ft(?:een|y)|ve)|o(?:rty|ur(?:teen)?))|nine(?:t(?:een|y))?|one|s(?:even|ix)(?:t(?:een|y))?|t(?:en|h(?:irt(?:een|y)|ree)|w(?:e(?:lve|nty)|o)))\s*yard\s*(field\s+goal|FG|touchdown|TD)\b,\1-yard \2
\binfront\b(?!\.\w),in front
\b([tT])r(?:ipti|ypt[iy])ch(s)?\b(?!\.\w),\1riptych\2
ionaly\b(?!\.\w),ionally
ioanl(ly)?\b(?!\.\w),ional\1
"\bDean(?<=[,\.]\s{1,99}\w{1,99}|\s[a-z]{1,99}\s{1,99}\w{1,99}|\bThe\s+\w+|\(\w+)(?<!Office\s[a-z\s]+\w+)\s+[oO]f\s+[sS](ciences?|tud(?:ents|ies))(?=(?:[,\.\)]|\s+(?:a(?:nd|t)|[a-z]{4,20}|for|in)))",dean of s\1
\bgovt\.(?=\s[a-z]),government
[-\s]+grand\b(?<=\bgreat[-\s]+\w+)[-\s]+(aunts?|child(?:ren)?|daughters?|fathers?|kids?|mothers?|n(?:ephews?|i(?:blings?|eces?))|parents?|sons?|uncles?)\b,-grand\1
"\b([gG])reat\s+(?=(?:great[-\s]+){0,5}grand(?:aunts?|child(?:ren)?|daughters?|fathers?|kids?|mothers?|n(?:ephews?|i(?:blings?|eces?))|parents?|sons?|uncles?)\b)",\1reat-
"\bBoard(?<=[;,]\s{1,99}\w{1,99}|\s[a-z]{1,99}\s{1,99}\w{1,99}|The\s+\w+)\s+[mM]ember(s)?(?=[,;\)\.]|\s{1,99}[a-z])",board member\1
"\bBoard(?<=(?:[;,]|\s[a-z]+)\s+\w+)\s+[cC](hair(?:man|person|woman)?)(?=(?:[,;\)\.]|\s+[a-z]))",board c\1
"\bBoard(?<=(?:[;,]|\s[a-z]+)\s+\w+)\s+[pP]resident(?=[,;\)\.]|\s+[a-z])",board president
\bmid\b(?<=\b[tT]he\s+\w+)[\s–]+(20\d0|1[4-9]\d0)['’;´ˈ׳᾿‘′Ꞌꞌ`]?s\b,mid-\1s
\b([pP])redess+or(s)?\b,\1redecessor\2
\b([aA])llot(ed|ing)\b,\1llott\2
\b([dD])ecision\s+making(?=\s+(?:a(?:bilit(?:ies|y)|ctivit(?:ies|y))|bod(?:ies|y)|p(?:o(?:sitions?|wers?)|rocess(?:es)?)|s(?:kills?|ystems?)|tools?)\b),\1ecision-making
\b([pP])rec[ie]ptiat(e[ds]?|i(?:ng|on))\b,\1recipitat\2
\b([aA]g|[cC]onstitu|[lL]eni|[tT]end)anc(ies|y)\b,\1enc\2
\b([pP])artern?(ing|ships?)\b,\1artner\2
\bha([ds]|v(?:e|ing))\s+ran\b,ha\1 run
\bRugby\s+lae?gue\b,Rugby league
\b([sS])kii+er(s)?\b,\1kier\2
"\bAcademy\b(?<=\b(?:[aA]n?|[iI]ts|new|of|same|[tT]h(?:e|is)|\w+,)\s+\w+)(?!(?:\s+(?:for|o[fn])(?:\s+the)?)?\s+[\dA-Z])(?<![\w,]\s+An\s+\w+)",academy
\beaster\b(?<=\b(?:[fF]ar[-–‑−—―\s]+easter\b|[nN]ear[-–‑−—―\s]+easter\b)),eastern
"\bD(e(?:puty|sign|velopment)|istrict)(?<=(?:\(|(?:[,;]|[\s\(](?:[a-z]+|A[ns]|Current|Former|Its|The))\s+)\w+)\s+[dD]irector(s)?(?=\s+[a-z\(]|[,;\.\)])(?<!\b[A-Z][a-z]+\s+of\s+\w+\s+\w+)",d\1 director\2
"\bA(cting|dministrative|rtistic|ss(?:istant|ociate)|thletic)(?<=(?:\(|(?:[,;]|[\s\(](?:[a-z]+|A[ns]|Current|Former|Its|The))\s+)\w+)\s+[dD]irector(s)?(?=\s+[a-z\(]|[,;:\.\)])(?<!\b[A-Z][a-z]+\s+of\s+\w+\s+\w+)",a\1 director\2
"\bM(a(?:naging|rketing)|edical|usic(?:al)?)(?<=(?:\(|(?:[,;]|[\s\(](?:[a-z]+|A[ns]?|Current|Former|Its|The))\s+)\w+)\s+[dD]irector(s)?(?=\s+[a-z\(]|[,;:\.\)])(?<!\b[A-Z][a-z]+\s+of\s+\w+\s+\w+)",m\1 director\2
