error,correction
a disparue,a disparu
a grandit,a grandi
a partir,à partir
A partir,À partir
a permi,a permis
a réagit,a réagi
(A|a)bb?att?(ages?|re),\1batt\2
(A|a)b(atiale|é|esse)(s?),\1bb\2\3
(A|a)bb?[eéêè]rr?ation(s?),\1berration\2
(A|a)r?borig[éeèêë]ne(s?),\1borigène\2
(A|a)bcisse(s?),\1bscisse\2
(A|a)bsorbtion(s?),\1bsorption\2
(A|a)cc?ad[éeèêë]mie(s?),\1cadémie\2
(A|a)ccacia,\1cacia
(A|a)calmie,\1ccalmie\2
(A|a)cc[éeêë]s,\1ccès
(A|a)ccoustique(s?),\1coustique\2
(A|a)quisition(s?),\1cquisition\2
(A|a)ddresse(s?),\1dresse\2
(A|a)diction(s?),\1ddiction\2
(A|a)dition(ner|née?s?|s),\1ddition\2
agé(e?s?),âgé\1
Agé(e?s?),Âgé\1
aggio,agio
(A|a)lcoo?le?,\1lcool
(A|a)mericain(s?),\1méricain\2
(A|a)nnee(s?),\1nnée\2
(A|a)notation(s?),\1nnotation\2
(A|a)nt[eéè]c[eéè]dant(s?),\1ntécédent\2
(A|a)ntologie,\1nthologie\2
(A|a)para(i|î)tre,\1ppara\2tre
acqueux,aqueux
arrété,arrêté
(A|a)sterix,\1stérix
(A|a)tmosph[eéêë]re(s?),\1tmosphère\2
(A|a)thmosph[eéêë]rique(s?),\1tmosphérique\2
atteind,atteint
(A|a)u[ -]del[âàa],\1u-delà
(A|a)u dessous,\1u-dessous
(A|a)u dessus,\1u-dessus
(A|a)ujour?d'?hui,\1ujourd'hui
(A|a)upr[eé]s,\1uprès
(A|a)ux plus vite,\1u plus vite
(A|a)u seins,\1u sein
aux dépends,aux dépens
(B|b)aillage(s?),\1ailliage\2
(B|b)[aâ]iller aux corneilles,\1ayer aux corneilles
(B|b)a(iï]|ill|y)onn?ette(s?),\1aïonnette\2
(B|b)anquaire(s?),\1ancaire\2
(B|b)ase[ -][Bb]all,\1aseball
(B|b)isextile,\1issextile
(B|b)izard,\1izarre
(B|b)lanchiement(s?),\1lanchiment\2
(B|b)lizard,\1lizzard
Camberra,Canberra
(C|c)apoiera,\1apoeira
(C|c)arr?ouss?el(s?),\1arrousel\2
(C|c)athéchisme,\1atéchisme
(C|c)ategorie(s?),\1atégorie\2
cauchemards,cauchemars
celà,cela
ceuillir,cueillir
(C|c)hatain(s?),\1hâtain\2
(C|c)hatelain(e?s?),\1hâtelain\2
(C|c)hèreté,\1herté
(C|c)hiff?re d'affaire,\1hiffre d'affaires
(C|c)îme(s?),\1ime\2
(C|c)im[ie]ti[eèéê]re(s?),\1imetière\2
Clémenceau,Clemenceau
(C|c)oallition(s?),\1oalition\2
(C|c)omm?(a|e)ndemant(s?),\1ommandement\3
(C|c)oncuren(c|t)e(s?),\1oncurren\2e\3
(C|c)onjuguaison(s?),\1onjugaison\2
(C|c)onseil(s?) d'[Aa]dministrations,\1onseil\2 d'administration
(C|c)onsider(er|ée?s?|ant|ables?|ablement|ations?),\1onsidér\2
(C|c)ontreverse(s?),\1ontroverse\2
[Cc]ôte-d'[Aa]zur,Côte d'Azur
(C|c)ôteau(x?),\1oteau\2
(C|c)ourrir,\1ourir
croyent,croient
(C|c)ygogne(s?),\1igogne\2
(D|d)ebut(s?),\1ébut\2
(D|d)ecembre,décembre
(D|d)éconn?ection(s?),\1éconnexion\2
(D|d)édicasse(s?),\1édicace\2
(D|d)[eéè]gat(s?),\1égât\2
