word,synonyms
سقّم,['مَرَض']
تحابّ,"['تَوَامُق', 'تَوَادّ']"
بغية,"['رَغْبَة', 'أُمْنِيَة', 'تَوْق']"
إفساح,['تَوْسِيع']
غبطة,"['سُرُور', 'فَرَح', 'بَهْجَة']"
إفساد,['إِيضَاع']
بغيض,"['مَبْغُوض', 'كَرِيه']"
اصطلاح,['اِتِّفَاق']
خافي,['مُسْتَتِر']
بخس,['نَاقِص']
إطالة,"['إِطْنَابْ في الكَلاَم ', 'مُبَالَغَة']"
لم يبيّن,['جَمْجَمَ']
انفصل(بعضه عن بعض),"['اِنْقَطَعَالشَيء', 'تَوَقّفَ']"
بغاء,"['زِنَى', 'فُجُور']"
تعاضد,"['تَعَاوَنَ', 'تَنَاصَرَ']"
إبكاء,['تَبْكِية']
بشبش,"['بَشَّ', 'لَطُفَ']"
إبكار,"['تَبْكيرْ', 'تَقَدُم', 'إِسْراع']"
بطان,['مُمْتَلِئالبَطْن']
تغنّى,"['اِغْتَنى', 'غَنّى']"
تغنّي,"['اِغْتِنَاء', 'غِنَاء']"
غضب,"['سُخْط', 'نَقْمَة']"
خشّن,['أَوْغَرَ']
قرف,"['اِشْمِئْزَاز', 'تَقَزَّزَ']"
مرافقة,"['تَوْدِيع', 'تَشْيِيع']"
فضح,"['سَمَّعَ', 'نَشَرَ', 'شَهَّرَ']"
سقّط,['رَسَّبَ']
انسحاب,"['مُغَادَرَة', 'تَرَاجُع']"
تقاعس,"['تَأَخُّر', 'تَوَانِي']"
نظر-بجانب العين-,['شَزْر']
جثو,['جُلُوس عَل الرُكْبَتَين']
يأس,['اتِّآس']
جثم,['رَزَاخ']
جمجم,['لم يُبَيِّن']
مستهزئ,['سَاخِر']
دعوة,"['تَبْشِير', 'نَقْل الخَبَر المُفْرِح']"
أخاف,['أَوْجَلَ']
بخول,['بُخْل']
إثواء,['إِقامَة']
التبس(عليه الأمر),"['اِخْتَلَطَ', 'اِشْتَبَهَ', 'أَشْكَلَ']"
أخوب,"['آثِم', 'مُذْنِب', 'مُجْرِم']"
نظّم,"['رَتَّبَ', 'نَضَّدَ']"
تحرّى-السجين-,"['صَارَحُرًّا', 'اِنْعَتَقَ']"
شجيّ,['حَزِين']
ألّم(بالمعنى),['عَرَفَ']
انصبّ,['دَفَقَ']
جثا,['جَلَسعَلَى رُكْبَتَيه']
اقتلاع,"['قَلْع', 'اِنْتِزَاع']"
تحطّم,"['اِنْكِسَار', 'تَجَزُّء', 'اِنْهِزَام']"
اشتداد,"['شَصَب', 'صُعُوبَة']"
انزلاق,['زَّلَل']
انشق,['اِنْفَطَرَ']
تكاثف,"['غِلْطَة', 'تَكَاثُر']"
إدبار,['تَوَلّي']
ثني,['طَّيّ']
ثنى,"['صَرَفَ', 'أَبْعَدَ']"
أتلف,['أَفْسَدَ']
عطش,"['أُوَار', 'حَرّشَدِيد', 'دُخَان']"
انقماس,['غِيَاب']
أتلى,['سَبَقَ']
ذوّبه,['أَذَابَ']
انقماع,"['اِحْتِجَاب', 'جُلُوسعلى اِنْفِرَاد']"
محتشم,"['حَشِيم', 'حَيِيّ']"
رفّه,['رَوَّحَ']
خفاء,"['تَبَهُّم', 'اِلْتِبَاس']"
ألوى,"['أَمَالَ', 'عَطَفَ']"
لاحق,"['تَالِي', 'تَابِع']"
اخضلّ,"['اِبْتَلَّ', 'نَدِيَ']"
كاتب,"['أَدِيب', 'مَثَقَّف', 'مُهَذَب']"
إذناب,"['إِجْرام', 'جِنايَة']"
أزمة,"['ضِيق', 'شِدَّة']"
خصاصة,['قَلِيل']
عطف,"['أَلْوَى', 'أَمَالَ']"
مفتول,"['أَجْدَلُ', 'قَوِيّ']"
أتلع,['أَعْنَق']
استياء,['اِمْتِعَاض']
تكاثر,"['تَكَاثُف', 'غِلْطَة']"
بداية,['مُسْتَهَلّ']
ألوف,['وَدُود']
بتّك,['قَطَّعَ']
بسر,"['عَبُوس', 'تَقْطِيب']"
بتّل,['قَطَّعَ']
تكبكب,['تَجَمُّع']
إصدار,['إِبْرَاز']
نكوص,"['تَأَزِّي', 'إِحْجَام', 'تَرَاجُع']"
تجويد(التلاوة),"['تِرْتِيل', 'تَأَنُقفي التِلاَوَةِ']"
شاهق,['مُرْتَفِع']
تأجّج,"['اِشْتِعَال', 'تَوَقُّد']"
إطلاق,['إِفْرَاج']
هيئة,"['زِيّ', 'لِبَاس']"
حبيس,"['سَجِين', 'أَسِير']"
أقارب,['أَهْل']
أهزل(ها),"['أَنْحَلَالدَابَة', 'أَضْعَفَها']"
أعلم(ه)(به),['أَفْضَىإِلَيه الِسرَ']
شدة-جوع-,"['سُعْر', 'حَرّ']"
بطّل,['عَطَّلَعن العَمَل']
شاه,['قَبُحَ']
استرضى,['أَنَّنَ']
حبيب,['مَحْبُوب']
انظمّ(ت)-أجزاؤه,['اِنْجَمَعَالشيء']
