word,synonyms
[gos] coniller,"['[gos] guineuer', '[gos] llebrer', '[gos] perdiguer', 'caçador']"
[gos] guineuer,"['[gos] coniller', '[gos] llebrer', '[gos] perdiguer', 'caçador']"
[gos] llebrer,"['[gos] coniller', '[gos] guineuer', '[gos] perdiguer', 'caçador']"
[gos] perdiguer,"['[gos] coniller', '[gos] guineuer', '[gos] llebrer', 'caçador']"
a baix preu,"['a bon preu', 'barat', 'econòmic', 'rebaixat']"
a bon preu,"['a baix preu', 'barat', 'econòmic', 'rebaixat']"
àcid,"['amarg', 'aspre']"
a fi que,"['per tal que', 'perquè']"
àgil,"['dinàmic', 'enèrgic', 'lleuger', 'ràpid']"
àgora,"['encants', 'fira', 'llotja', 'mercat', 'plaça']"
àguila,['àliga']
a hores d'ara,"['actualment', 'ara', 'ara com ara', 'ara mateix', 'ara per ara', 'avui', 'immediatament', 'ja']"
a l'interior,"['endins', 'endintre', 'interior']"
àlies,"['motiu', 'sobrenom']"
àliga,['àguila']
àmbit,"['camp', 'horitzó']"
a més a més,"[""a més d'això"", 'altrament', 'amb tot això', 'damunt', 'de més a més', 'demés', 'encara', 'endemés', 'per afegiment', 'per afegitó']"
a més d'això,"['a més a més', 'altrament', 'amb tot això', 'damunt', 'de més a més', 'demés', 'encara', 'endemés', 'per afegiment', 'per afegitó']"
ànec,"['ànega', 'ànet', 'anedó', 'aneguet']"
ànega,"['ànec', 'ànet', 'anedó', 'aneguet']"
ànet,"['ànec', 'ànega', 'anedó', 'aneguet']"
ànim,"['esperit', 'humor']"
ànima,"['esperit', 'fantasma', 'geni', 'quimera']"
ànsia,['passió']
a peu nu,['descalç']
àpex,"['capcer', 'caramull', 'cim', 'cimadal', 'cimal', 'cimall', 'extrem', 'pinacle', 'punta', 'súmmum', 'summitat', 'vèrtex']"
àrab,['aràbic']
àrbitre,"['compromissari', 'conciliador', 'intermediari', 'jurat', 'jutge', 'mantenidor', 'perit', 'tercer']"
àrea,['zona']
a recules,"['a reculons', 'arrere', 'endarrere', 'enrere']"
a reculons,"['a recules', 'arrere', 'endarrere', 'enrere']"
a reveure,"['adéu', 'adéusiau', 'comiat']"
àrid,"['estèril', 'faltat', 'mancat', 'pobre']"
àrtic,['glacial']
a tota hora,"['constantment', 'contínuament', 'sempre', 'sense parar', 'tota la vida']"
èlice,"['cargol', 'espiral', 'helicoide', 'rínxol']"
èlitre,"['ala', 'aleró', 'aleta', 'rems']"
època,"['estació', 'etapa', 'període', 'temporada']"
èter,"['atmosfera', 'cel', 'empiri figurat', 'firmament', 'olimp figurat', 'paradís figurat']"
èxit,"['succés', 'triomf']"
