word,synonyms
-li,['jestliže']
Angličan,['Brit']
Brit,['Angličan']
Cařihrad,['Istanbul']
Holandsko,['Nizozemí']
Indián,['rudoch']
Istanbul,['Cařihrad']
Ježíš,['Kristus']
Kristus,['Ježíš']
Nizozemí,['Holandsko']
Panova píšťala,['syrinx']
Písmo svaté,['bible']
Satan,['ďábel']
Spasitel,['Vykupitel']
Vykupitel,['Spasitel']
WC,['toaleta']
Zapadákov,['díra']
a pak,['a potom']
a potom,['a pak']
a tak,"['takto', 'čili', 'tak tedy']"
abdikace,"['vzdání se', 'rezignace']"
abdikovat,"['podat demisi', 'odstoupit', 'vzdát se']"
abnormální,"['mimořádný', 'neobvyklý']"
abonent,['předplatitel']
absolutistický,['absolutní']
absolutně,"['úplně', 'naprosto', 'zcela']"
absolutní viskozita,['dynamická viskozita']
absolutní,"['totální', 'neomezený', 'úplný', 'absolutistický']"
absorbovat,"['pohlcovat', 'pohltit']"
abstinence,['zdrženlivost']
abstinentní,['zdrženlivý']
absurdní,['protismyslný']
adaptace,['úprava']
adekvátnost,['přiměřenost']
adept,['nováček']
adhezní,['přilnavý']
administrativa,['správa']
adopce,['osvojení']
adresovat,['určit']
adresát,['příjemce']
adresář,['seznam']
afektovanost,"['strojenost', 'přetvářka']"
afektovaný,"['nepřirozený', 'vyumělkovaný', 'strojený']"
agens,['činidlo']
agent,"['jednatel', 'špion']"
agentura,['jednatelství']
agregát,['soustrojí']
agresivita,['útočnost']
agresivní,"['útočný', 'bojovný']"
agrární,['zemědělský']
agónie,"['muka', 'utrpení']"
ahoj,"['nazdar', 'čau']"
akademická hodnost,['diplom']
akce,['podnik']
akcelerace,['zrychlení']
akcent,['přízvuk']
akceptovat,['uznat']
aklimatizovat,['přizpůsobit']
akrobat,['provazolezec']
akt,['jednání']
aktivní,['činný']
aktivum,['přínos']
aktovka,['kufřík']
alarm,['poplach']
ale co,['ale kdež']
ale kdež,['ale co']
alej,['stromořadí']
alespoň,"['přinejmenším', 'při nejmenším']"
aliance,['spojenectví']
alkalický,['zásaditý']
alkoholik,"['piják', 'pijan', 'notorik']"
alkoholismus,['opilství']
alkálie,['zásada']
almanach,['ročenka']
altánek,"['besídka', 'zahradní besídka']"
ambulance,['sanitka']
amfora,['korbel']
amorfní,['beztvarý']
amplion,['reproduktor']
ampulka,"['nádobka', 'lahvička']"
amputovat,['odejmout']
analogický,['obdobný']
analogie,"['obdoba', 'podobnost', 'paralela']"
analyzovat,['rozebrat']
anarchie,"['chaos', 'bezvládí']"
anděl,['miláček']
anekdota,"['žert', 'vtip']"
anektovat,['zabrat']
ani jeden,['žádný']
animální,['živočišný']
ano,['dobře']
anomálie,['odchylka']
ansámbl,"['soubor', 'sbor']"
antagonista,['protivník']
antagonistický,['protichůdný']
anticipovat,['předjímat']
anticipující,['předjímající']
antika,['dávnověk']
antipatie,"['nelibost', 'odpor']"
antiseptikum,['dezinfekční prostředek']
antitetický,['protikladný']
antologie,"['soubor', 'výbor']"
anuita,"['renta', 'splátka']"
anulovat,"['stornovat', 'rušit', 'zmařit', 'zrušit', 'odvolat', 'zničit']"
anulovatelný,['zrušitelný']
anulování,"['zrušení', 'stornování']"
anály,['letopisy']
aparatura,['zařízení']
apartní,['slušivý']
aparát,"['zařízení', 'přístroj']"
apatický,"['otupělý', 'netečný', 'lhostejný']"
apatie,"['lhostejnost', 'netečnost']"
apelovat,['dovolávat se']
aplaudovat,['tleskat']
aplaudující,['tleskající']
aplaus,['potlesk']
aplikace,['použití']
aplikovat,"['použít', 'upotřebit']"
apodiktický,['nezvratný']
apologie,['obrana']
aprobovat,['kvalifikovat']
architekt,['stavitel']
argot,"['hantýrka', 'slang']"
argument,['důvod']
aristokracie,['šlechta']
aristokrat,"['šlechtic', 'patricij']"
aristokratický,['šlechtický']
arogantní,"['panovačný', 'drzý', 'domýšlivý', 'pánovitý', 'zpupný']"
aromatický,['vonný']
arterie,['tepna']
artikulace,['výslovnost']
artikulovat,['mluvit zřetelně']
aróma,['vůně']
asfalt,['dehet']
asi,"['tak', 'snad', 'nějaký', 'možná']"
asimilace,"['přizpůsobení', 'spodoba']"
asistent,"['lektor', 'pomocník']"
askeze,['odříkání']
asociace,"['svaz', 'spolek', 'společenství']"
aspekt,['zřetel']
aspik,['rosol']
