word,synonyms
-abel,['et']
-age,['ing']
-al,['el']
-el,['al']
-else,"['sel', 'ing', 'tion']"
-eri,"['ing', 'sel']"
-et,"['ig', 'lig']"
-hed,['skab']
-id,['lignende']
-ig,['et']
-ing,"['else', 'tion']"
-krone,['penge']
-lig,"['ig', 'et']"
-ment,"['ing', 'ning']"
-nød,['mangel']
-oid,['lignende']
-porno,['pornografi']
-sel,['else']
-skab,['hed']
-tion,"['else', 'ing']"
-trice,['øse']
-årig,['års']
-års,['årig']
-ør,['or']
24 timer,"['afdrag', 'betaling', 'rate']"
24-7,"['ad modum', 'det samme som', 'i lighed med', 'i smag med', 'lig', 'ligesom', 'på linje med', 'som', 'tilsvarende']"
45-knallert,"['ab initio', 'ab ovo', 'begyndelse', 'start']"
68'er,['1']
@,['snabela']
A,['tone overkategori']
a,['til']
a capriccio,"['ad libitum', 'efter behag', 'efter forgodtbefindende', 'forgodtbefindende']"
a conto,"['afdrag', 'betaling', 'rate']"
a la,"['ad modum', 'det samme som', 'i lighed med', 'i smag med', 'lig', 'ligesom', 'på linje med', 'som', 'tilsvarende']"
a la grecque-bort,"['løbende hund daglig tale', 'mæanderbort']"
a-,"['u', 'ikke', 'in', 'non']"
A-aktie,['aktie overkategori']
A-officer,['officer overkategori']
a4,['1']
,['A5']
A4,['2']
,"['gældende fra', 'til']"
a5,['1']
,"['ab origine', 'ab ovo', 'begyndelse', 'start']"
ab,"['af', 'fra', 'af og til underbegreb', 'nu og da underbegreb', 'undertiden underbegreb', 'af sted underbegreb', 'bort underbegreb', 'væk underbegreb']"
ab initio,"['ab origine', 'ab ovo', 'begyndelse', 'start']"
ab origine,"['ab initio', 'ab ovo', 'begyndelse', 'start']"
ab ovo,"['ab initio', 'ab origine', 'begyndelse', 'start']"
ab-,"['af', 'af', 'fra', 'fra']"
abandonnere,"['afgive', 'aflevere', 'afstå', 'bringe', 'ekstradere', 'fly', 'give fra sig', 'indgive', 'indlevere', 'levere', 'overdrage', 'overgive', 'overlade', 'tilbagelevere', 'udlevere']"
abbed,"['abbedisse', 'munkeklosteroverhoved', 'nonneklosteroverhoved', 'prior', 'priorinde']"
abbedi,['kloster']
abbedisse,"['abbed', 'munkeklosteroverhoved', 'nonneklosteroverhoved', 'prior', 'priorinde']"
abbreviation,"['afkortning', 'forkortelse']"
abbreviatur,"['forkortelsestegn', 'sigel']"
abbreviere,"['afkorte', 'forkorte', 'nedsætte']"
abc,"['begynderbog', 'børnelærdom', 'elementarbog', 'elementærviden', 'grundelementer']"
abdicere,['afgive overkategori']
abdikation,"['tronfrasigelse', 'tilbagetræden']"
abdomen,"['bug', 'mave', 'vom']"
abe,"['abekat', 'antropoidea', 'menneskeabe', 'primat']"
abe efter,"['afkopiere', 'afskrive', 'aftrykke', 'efterabe', 'efterligne', 'eftertrykke', 'faksimilere', 'fotokopiere', 'gengive', 'imitere', 'kalkere', 'kopiere', 'mangfoldiggøre', 'nytrykke', 'tage afskrift']"
abefest,['selskab overkategori']
abekat,"['abe', 'antropoidea', 'menneskeabe', 'primat']"
abekattestreg,"['drengestreg', 'forlystelse', 'grin', 'gøgl', 'humbug', 'klovnenummer', 'løjer', 'markedsforlystelse', 'narrestreg', 'satire', 'sjov', 'skæmt', 'spilopper', 'spot', 'spøg']"
abekattestreger,['narrestreger']
abemenneske,['kræ overkategori']
aber dabei,"['hage', 'skavank', 'minus']"
