word,synonyms
a,['1']
á,['ala']
a,['1']
aba,['faldra']
abáboro,['abázcaro']
abarcábel,['abarcable']
abarcable,['abarcábel']
abarrelar,"['abarrelar < rorro', 'arrolar < rorro']"
abastar,['bastar']
abatíbel,['abatible']
abatible,['abatíbel']
abázcaro,['abáboro']
abeaca,['gueifa']
abeirar,['resgardar']
abeleira,['abraira']
abellariza,['alvariza']
abeluria,"['borleta', 'croque', 'estalote', 'estraloque', 'milicroque', 'sanxoán', 'tróquele']"
abeneiral,"['ameneiral', 'amieiral']"
abeneiro,"['ameneiro', 'amieiro']"
abesourar,['abesullar']
abesullar,['abesourar']
abirtar,"['abritar', 'caldeirar caldeira2']"
(verbo transitivo),"['caldeirar caldeira2participio / adxectivo', 'aboubada']"
abobada,['aboubada']
abobado,['aboubado']
abobar,['aboubar']
abominábel,['abominable']
abominable,['abominábel']
abondo,['dabondo']
abordábel,['abordable']
abordable,['abordábel']
abordelar,"['acamboar', 'agabitar', 'atreixar', 'solear']"
aborrear,"['aborroeirar', 'atolar < tola']"
aborrecíbel,['aborrecible']
aborrecible,['aborrecíbel']
aborroeirar,"['aborrear', 'atolar < tola']"
aboubada,['abobada']
aboubado,['abobado']
aboubar,['abobar']
aboucar,"['aboucar recoméndase, mellor, outro termo sinonímico', 'amoucar']"
abouxar,['achourilar']
abracar,['brecar']
abraira,['abeleira']
abritar,"['abirtar', 'caldeirar caldeira2']"
(verbo transitivo),"['caldeirar caldeira2adxectivo', 'abrogable']"
abrogábel,['abrogable']
abrogable,['abrogábel']
abrótea,"['abrótega', 'ouropeso']"
abrótega,"['abrótea', 'ouropeso']"
abruón,"['afumadoiro', 'afungadoiro', 'refungadoiro', 'fungadoiro', 'afuadoiro recoméndase, mellor, outro termo sinonímico']"
ábsida,['ousia']
aburbullar,"['burbullar', 'gurgullar', 'aburbullar recoméndase, mellor, outro termo sinonímico', 'agurgullar recoméndase, mellor, outro termo sinonímico', 'borbullar recoméndase, mellor, outro termo sinonímico']"
ac,['actinio']
acachoupar,['acazapar']
acadar,['atanguer']
acadullar,"['cadabullar', 'cadullar', 'coudullar', 'caldullar recoméndase, mellor, outro termo sinonímico']"
acaer,['aquecer']
acainzar,"['acanizar', 'cainzar', 'canizar']"
acamboar,"['abordelar', 'agabitar', 'atreixar', 'solear']"
acanizar,"['acainzar', 'cainzar', 'canizar']"
acarroular,['carroulear']
acastizar,['castizar']
acazapar,['acachoupar']
accesíbel,['accesible']
accesible,['accesíbel']
acenar,['cenar']
aceno,['ceno']
aceptábel,['aceptable']
aceptabelmente,['aceptablemente']
aceptable,['aceptábel']
aceptablemente,['aceptabelmente']
acernar,"['cernar', 'cercear recoméndase, mellor, outro termo sinonímico']"
acevo,"['acivro', 'xardón']"
acha,['estela pau']
achaiar,"['achandar', 'achanzar']"
achancar,"['alancar', 'azancar']"
achandar,"['achaiar', 'achanzar']"
achanzar,"['achaiar', 'achandar']"
acharoar,"['charoar recoméndase, mellor, outro termo sinonímico']"
achegar,"['aportar recoméndase, mellor, outro termo sinonímico']"
achicar,['chicar']
achourilar,['abouxar']
acibar,"['chibar', 'xebrar']"
acicarro,"['cambón', 'rengueiro']"
ácimo,['asmo']
aciriscar,"['cichar', 'cirichar', 'zurrichar']"
