word,synonyms
másképpen,"['egyébként', 'másként', 'különben', 'másképp', 'ellenkező esetben', 'másképpen', 'egyébiránt', 'máskülönben']"
nagy darab,"['kövér', 'hízott', 'nagy darab', 'elhízott', 'hájas', 'dagadt', 'testes', 'molett']"
Kitti,"['1231', 'Katalin', 'Szilveszter', 'Kitti', 'Máriusz', 'Melánia', 'Ajándék', 'Katerina', 'Katarina', 'Ubul']"
éppenséggel,"['éppen', 'alig', 'épp', 'éppen hogy', 'éppenséggel', 'épp hogy']"
Milos,"['1126', 'Péter', 'Pető', 'Virág', 'Leonyid', 'Szilveszter', 'Milos', 'Atanáz', 'Ciklámen', 'Kurt', 'Berengár', 'Konrád', 'Lénárd']"
Delila,"['1209', 'Péter', 'György', 'Pető', 'Ábel', 'Georgina', 'Györgyike', 'Valéria', 'Gina', 'Györgyi', 'Györke', 'Gardénia', 'Delila', 'Györe', 'Leona', 'Natasa', 'Natália']"
Vica,"['1224', 'Éva', 'Ádám', 'Ervin', 'Evita', 'Vica', 'Léda', 'Noémi', 'Délibáb', 'Noé', 'Adél', 'Iringó', 'Hermina']"
jelentéktelen,"['elhanyagolható', 'jelentéktelen', 'nem számottevő']"
Stefán,"['1226', 'István', 'Dénes', 'Előd', 'Stefán', 'Stefánia', 'Dienes', 'Stefi', 'Zuboly']"
Ivett,"['0506', 'János', 'Judit', 'Tankréd', 'Ditta', 'Ida', 'Friderika', 'Tamara', 'Eliz', 'Ivett', 'Jutka', 'Evetke', 'Frida', 'Zsóka']"
Boglár,"['0822', 'János', 'Mária', 'Boglár', 'Mirjam', 'Merse', 'Zombor', 'Menyhért', 'Timóteus', 'Zakeus', 'Szigfrid', 'Timót']"
groteszk,"['furcsa', 'idegen', 'groteszk', 'bizarr']"
Hágár,"['1204', 'Péter', 'Pető', 'Barbara', 'Borbála', 'Biri', 'Bóra', 'Ciklámen', 'Bonnie', 'Boris', 'Ada', 'Reginald', 'Hágár', 'Bori', 'Bora', 'Móric', 'Mór', 'Boriska', 'Borka', 'Boróka']"
Kósa,"['0927', 'Károly', 'Kósa', 'Kozma', 'Vince', 'Adalbert', 'Demjén', 'Karola', 'Damján', 'Denton', 'Demény', 'Döme', 'Karel', 'Dömös', 'Florentin']"
jelentős,"['jelentős', 'nagy', 'fontos', 'komoly', 'meghatározó', 'számottevő', 'lényeges', 'nem elhanyagolható', 'nem csekély', 'jelentékeny']"
Solymár,"['0925', 'Miklós', 'Sólyom', 'Solymár', 'Kleofás', 'Rika', 'Kende', 'Nikol', 'Klió', 'Nikoletta', 'Eufrozina', 'Nikolett', 'Cézár', 'Kund']"
Borostyán,"['0311', 'Szilárd', 'Aladár', 'Teréz', 'Borostyán', 'Konstantin', 'Ulrik', 'Teréza', 'Tereza', 'Riza', 'Kadosa', 'Bors', 'Bendegúz', 'Terka', 'Terézia', 'Teri', 'Tera', 'Kadocsa', 'Tímea', 'Borbolya', 'Borsa']"
Genovéva,"['0103', 'Ben', 'Kardos', 'Hajnalka', 'Filadelfia', 'Gyöngyvér', 'Benjámin', 'Genovéva', 'Hermina']"
!,"['!', 'felkiáltójel']"
$,"['$', 'dollár', 'dollárjel']"
%,"['%', 'százalék', 'százalékjel']"
&,"['&', 'és', 'és jel', 'et jel']"
rezsim,"['ország', 'demokrácia', 'köztársaság', 'rezsim', 'önkényuralom', 'monarchia', 'királyság', 'népköztársaság']"
ennek következtében,"['ezzel', 'tehát', 'ennek következtében', 'ebből kifolyólag', 'ennélfogva']"
),"['', 'zárójel', 'bezáró zárójel']"
