word,synonyms
góði besti,['gerðu svo vel']
takk,"['það er sjálfþakkað', 'takk fyrir formlegt']"
ljósbjalla,"['blysbjalla', 'glætuormur', 'ljósormur']"
vatn,['buxnavatn']
góðan dag,['góðan daginn']
eyðimörk,['auðn']
auðn,['eyðimörk']
nótt,"['nátt', 'skáldamál njóla']"
hvirfilvindur,['hvirfilbylur']
Merkúr,['Merkúríus']
Merkúríus,['Merkúr']
jörð,['hnöttur']
mars,['marsmánuður']
sól,['röðull fornt']
marsmánuður,['mars']
og,['ok fornt']
Mars,['fornt þrekstjarna']
stjörnuhrap,['hlutur hrapsteinn']
örn,['haförn']
alltaf,"['ávallt', 'ætíð', 'ævinlega']"
hoppa,['skoppa']
hollenska,['niðurlenska']
köttur,['afkvæmi kettlingur']
bergkvika,['bergbráð']
regnbogi,['friðarbogi']
himinn,"['paradís', 'himnaríki', 'fornt andlangur', 'fornt; skáldamál élhöll']"
loft,['háaloft']
háhyrningur,['háhyrna']
atkvæði,['samstafa']
haf,"['skáldamál geimur', 'geimi']"
goðafræði,['goðsagnir']
stjarna,"['fastastjarna', 'sólstjarna']"
sólarupprás,"['sólaruppkoma', 'sólris']"
sólsetur,['sólarlag']
bókstafur,['stafur']
prins,['konungssonur']
refur,['bragðarefur']
jæja,['ja']
bók,['beyki']
okkar,['ljóðrænn vor']
sagnorð,['sögn']
fornafn,['skírnarnafn']
fallbeyging,['fallbreyting']
kona,"['kvenmaður', 'skáldamál svanni']"
bjór,['öl']
takk fyrir,"['þakka þér fyrir', 'það er sjálfþakkað', 'kærar þakkir', 'takk óformlegt']"
listi,['skrá']
stafur,['bókstafur']
tungumál,"['tunga', 'mál']"
mál,['málefni']
sá,['þessi']
reiðhjól,"['tvíhjól', 'hjól', 'hjólhestur']"
hjól,"['reiðhjól', 'tvíhjól']"
líffræði,['lífvísindi']
myrkur,['myrkvi']
slanga,"['snákur', 'ormur']"
hér og þar,['hér og hvar']
hér og hvar,['hér og þar']
eldfjall,['eldstöð']
gos,['eldgos']
líklegur,['sennilegur']
ólíklegur,['ósennilegur']
gamall,['aldraður']
fiðrildi,"['hreisturvængja', 'fifrildi fornt']"
lágfiðla,['víóla']
knéfiðla,"['selló', 'hnéfiðla']"
stelpa,"['telpa', 'stúlka']"
mamma,['móðir']
pabbi,"['faðir', 'pápi']"
faðir,"['pabbi', 'pápi']"
móðir,['mamma']
grein,['trjágrein']
fjólublár,['purpurarauður']
öl,['bjór']
bakki,['árbakki ']
björg,['hjálp']
björk,"['birki', 'birkitré']"
segull,['segulsteinn']
segulsteinn,['segull']
steinn,['fangelsi']
ísmáfur,['ísmávur']
fangelsi,"['steinn', 'svarthol']"
ráð,['fangaráð']
hvítmáfur,['hvítmávur']
tár,"['lögg', 'sopi']"
sjóna,"['nethimna', 'sjónhimna']"
fræði,['vísindi']
litín,"['líþíum', 'liþín', 'lítíum']"
nitur,['köfnunarefni']
volfram,['þungsteinn']
bismút,['vismút']
vismút,['bismút']
drengur,['strákur']
hrútur,['veður skáldamál']
meyja,['mær ljóðrænn']
steingeit,['fjallageit']
stjarnfræði,['stjörnufræði']
stjörnufræði,['stjarnfræði']
björn,['bangsi']
þungsteinn,['volfram']
apótek,['lyfjabúð']
kind,['sauðkind']
könguló,['kónguló']
svín,['gylta kvk']
tígrisdýr,['tígur']
sandbylur,['sandstormur']
hilling,['tíbrá']
tíbrá,['hilling']
sannleikur,['sannleiki']
heimur,['veröld']
veröld,['heimur']
góðan daginn,['góðan dag']
ísmávur,['ísmáfur']
mávur,['máfur']
snjór,['snær']
bíll,['bifreið']
guð,['goð guðleg vera í fleirgyðistrú']
huggun,"['hugfró', 'hugsvölun']"
tækisfall,"['tólfall', 'verkfærisfall']"
verkfærisfall,"['tólfall', 'tækisfall']"
tólfall,"['tækisfall', 'verkfærisfall']"
Ísland,['skáldamál Frón']
Suðurskautsland,"['Antarktíka', 'Suðurskautsálfa', 'Suðurheimskaut']"
Antarktíka,"['Suðurskautsland', 'Suðurskautsálfa']"
Suðurskautsálfa,"['Antarktíka', 'Suðurskautsland']"
ey,['fornt ei']
hrapsteinn,['stjörnuhrap']
hæ,['halló']
ála,['spíra']
stormfugl,['albatros']
ís,['klaki á þurru landi']
skuggi,['forsæla']
klífa,['klifra']
geimur,['geimi']
sæstjarna,['krossfiskur']
strandfura,['miðjarðarhafsfura']
klukkustund,['klukkutími']
prinsessa,['fornt drottning']
læða,['tófa']
fress,['högni']
drottning,"['prinsessa', 'konungsdóttir']"
kveld,['kvöld']
kvöld,['kveld fornt']
gallópnir,['örn']
púkabit,['stúfa']
stúfa,['púkabit']
ljóð,"['bundið mál', 'ljóðlist']"
augnhlaup,"['glærvökvi', 'glervökvi']"
miðjarðarhafsfura,['strandfura']
ljóðlist,['ljóð']
svefn,['draumur']
sjúkdómur,"['sýki', 'mein']"
sýki,"['sjúkdómur', 'mein']"
mein,"['sjúkdómur', 'sýki']"
lífljómun,"['ljósmögnun', 'lífsljómun', 'lífljóm', 'lífskin']"
strætó,['formlegt strætisvagn ']
tala,['númer hk']
bíó,['kvikmyndahús']
kvikmyndahús,['bíó']
sjónhimna,"['sjóna', 'nethimna']"
regnbogahimna,"['lithimna', 'lita']"
lithimna,"['regnbogahimna', 'lita']"
nethimna,"['sjóna', 'sjónhimna']"
eyja,"['ey', 'eyland']"
k.,['kk']
klukka,['klukkutími']
hurð,['dyr']
dyr,['hurð']
býfluga,['bý']
píanó,['slagharpa']
slagharpa,['píanó']
geimskip,"['geimfar', 'geimflaug']"
pítsa,"['flatbaka', 'pizza', 'pitsa sjaldan']"
eftir hádegi,['síðdegis']
deyða,"['bana', 'drepa']"
skyrpa,"['hrækja', 'spýta']"
gráta,"['brynna músum vatna músum', 'tárast', 'tárfella']"
fylgja,['legkaka']
deyja,"['látast', 'andast', 'farast', 'drepast']"
borða morgunmat,['borða morgunverð']
flatbaka,"['pítsa', 'pizza', 'pitsa sjaldan']"
hrafn,['krummi']
nös,['nasahol']
alur,['sýll']
skúr,['regnskúr']
lauf,['laufblað']
meitill,['fleygur']
brúðkaup,['brullaup hk fornt']
skemmtun,['skemmtilegheit']
sendiferð,['sendiför']
fylgd,['samfylgd']
elja,['frilla']
laufblað,['lauf']
hugrekki,"['hugdirfð', 'hugdirfska', 'kjarkur', 'þor']"
sveinn,['iðnsveinn']
nábúi,"['granni', 'nágranni', 'kona grannkona']"
dögun,"['afturelding', 'dagrenning', 'morgunsár']"
kartafla,['jarðepli']
hádegisverður,['hádegismatur']
hermaður,"['dáti', 'liðsmaður']"
lind,"['brunnur', 'uppspretta', 'vatnslind']"
sál,['sála']
kvöldverður,['kvöldmatur']
konungur,"['kóngur', 'skáldamál hilmir', 'jöfur', 'lofðungur ']"
hross,['skáldamál jór']
tíð,['blæðingar']
augnablik,['stundarkorn']
sverð,['brandur']
afmæli,['afmælisdagur']
þoka,['skáldamál nifl']
hryggur,"['dapur', 'harmfullur']"
horn,"['heilhveitihorn', 'smjördeigshorn']"
höfuð,['um dýrin haus']
fræ,['frækorn']
snákur,['slanga kvk']
verkur,"['sársauki', 'þjáning', 'þrautir']"
ventill,['loki']
stúlka,"['stelpa', 'telpa']"
leigubíll,['leigubifreið']
sandfok,"['sandbylur', 'sandstormur']"
sonur,"['skáldamál ástmögur', 'bur', 'mögur']"
sjúkrahús,"['spítali', 'spítall fornt']"
sjónvarpstæki,"['sjónvarp', 'sjónvarpsviðtæki']"
rúta,['hópferðabíll']
rúm,"['hvíla', 'rekkja']"
ótti,['hræðsla']
kvöldmatur,['kvöldverður']
karlmaður,['skáldamál gumi']
jarðskjálfti,"['jarðhræring', 'landskjálfti']"
hryssa,"['meri', 'kapall']"
hluti,['hlutur']
hjálp,['aðstoð kvk']
herra,['andlangs herra']
fingur,['putti']
dauði,"['andlát', 'bani', 'fráfall', 'líftjón']"
brú,['heilabrú']
blað,['egg kvk']
árangur,['ávöxtur']
afmælisdagur,['afmæli']
reiður,"['illur', 'vondur']"
tryggur,"['dyggur', 'trúr', 'trúfastur']"
skarpur,['skarpvitur']
dauður,['látinn komið af sagnorðinu að látast']
ölvaður,['ölóður']
veikur,['lasinn']
náttúrulegur,['náttúrlegur']
nákvæmur,['nákvæmlegur']
mikilvægur,['þýðingarmikill']
dáinn,['dauður']
dapur,['hryggur lýsingarorð']
blautur,['votur']
líka,"['einnig', 'og atviksorð', 'sömuleiðis']"
hérna,['hér']
fyrir hádegi,['árdegis']
ennþá,['enn þá']
bara,"['aðeins', 'barasta', 'einungis']"
aldrei,['skáldamál aldregi']
eins og,['einsog']
fimmtíu og fjórir,['fimmtíu og fjögur hk']
fimmtíu og þrír,['fimmtíu og þrjú hk']
fimmtíu og tveir,['fimmtíu og tvö hk']
fimmtíu og einn,['fimmtíu og eitt hk']
fjörutíu og fjórir,['fjörutíu og fjögur hk']
fjörutíu og þrír,['fjörutíu og þrjú hk']
fjörutíu og tveir,['fjörutíu og tvö hk']
fjörutíu og einn,['fjörutíu og eitt hk']
hundrað og einn,['hundrað og eitt hk']
Ameríka,"['Vesturálfa', 'Vesturheimur']"
enn,['enn þá ennþá']
af því að,['því að']
eyðileggja,"['ónýta', 'skemma', 'tortíma']"
pláneta,['reikistjarna']
mý,['mýfluga']
mýfluga,['mý']
gera úlfalda úr mýflugu,['gera úlfala úr mýflugunni']
gera úlfala úr mýflugunni,['gera úlfalda úr mýflugu']
takmark,['markmið']
óp,"['hróp', 'kall']"
mýri,['votlendi']
trjágrein,"['grein', 'kvistur']"
þakka þér fyrir,"['takk fyrir', 'takk']"
hné,['kné']
hnéfiðla,"['selló', 'knéfiðla']"
selló,"['hnéfiðla', 'knéfiðla']"
blinda,['sjónleysi']
fjörutíu og fjórar,['fjörutíu og fjögur hk']
fjörutíu og fjögur,['fjörutíu og fjórar kvk']
fimmtíu og ein,['fimmtíu og eitt hk']
fimmtíu og eitt,['fimmtíu og ein kvk']
fjörutíu og ein,['fjörutíu og eitt hk']
fjörutíu og eitt,['fjörutíu og ein kvk']
fimmtíu og fjórar,['fimmtíu og fjögur hk']
fimmtíu og fjögur,['fimmtíu og fjórir kk']
fimmtíu og þrjár,['fimmtíu og þrjú hk']
fimmtíu og þrjú,['fimmtíu og þrír kk']
fimmtíu og tvær,['fimmtíu og tvö hk']
fimmtíu og tvö,['fimmtíu og tveir kk']
fjörutíu og tvær,['fjörutíu og tvö hk']
fjörutíu og tvö,['fjörutíu og tveir kk']
fjörutíu og þrjár,['fjörutíu og þrjú hk']
fjörutíu og þrjú,['fjörutíu og þrír kk']
hundrað og ein,['hundrað og eitt hk']
hundrað og eitt,['hundrað og einn kk']
púls,['æðarsláttur']
gemsi,['farsími']
farsími,['gemsi']
alnæmi,['eyðni']
eyðni,['alnæmi']
