word,synonyms
(bestått) yrkesprøve,"['fagbrev', 'lære', 'svennebrev', 'utdannelse']"
(ene og) alene,"['allerede', 'bare', 'begrenset til', 'blott', 'eneste', 'helt og holdent', 'ikke annet/andre/flere enn', 'kun', 'lutter', 'rett og slett', 'simpelthen', 'skjære', 'udelt', 'utelukkende']"
(ens) eget kjøtt og blod,"['aner', 'avstamning', 'blod', 'dynasti', 'familie', 'forfedre', 'herkomst', 'hus', 'huslyd', 'husstand', 'klasse', 'nærmeste', 'opphav', 'opprinnelse', 'rase', 'slekt', 'stamtre', 'ætt']"
(for)herde,"['armere', 'avstive', 'befeste', 'bestyrke', 'effektivisere', 'forsterke', 'gi næring til', 'hjelpe', 'intensivere', 'konsolidere', 'kvikke opp', 'maksimere', 'minimere', 'oppmuntre', 'skjerpe', 'spare kostnader', 'stabilisere', 'stadfeste', 'stimulere', 'stive/stramme opp', 'stramme inn', 'styrke', 'stålsette', 'utbygge', 'væpne']"
(himmel)perspektiv,"['fugleperspektiv', 'helhetsinntrykk', 'overblikk', 'oversikt muntlig mening', 'oversyn']"
(pikenes) jens,"['casanova', 'damevenn', 'donjuan', 'elsker', 'forfører', 'hjerteknuser', 'jentefut', 'kurtisør', 'kvinnebedårer', 'kvinnejeger', 'libertiner', 'playboy', 'rundbrenner', 'sjarmør', 'skjørtejeger', 'uthaler']"
(være i) Morfei armer,"['blund', 'dorm', 'drøm', 'drømmeland', 'dupp', 'dvale', 'døs', 'hvil', 'hvile', 'høneblund', 'Jon Blund', 'lur', 'napp', 'Ole Lukkøye', 'slummer', 'somnambulisme', 'søvn', 'søvngjengeri']"
100-årsbølge,"['Allah', 'allfader', 'den høyeste', 'Faderen', 'Gud', 'Gud fader', 'herre', 'Himmelens hersker', 'Jehova', 'Jesus Kristus', 'Skaperen', 'vår himmelske far', 'Vårherre']"
17. mai-tog,"['Belsebub', 'demon', 'den onde', 'djevel', 'faen', 'fande', 'Gamle Erik', 'hinmann', 'jækel', 'jævel', 'Lucifer', 'mannen med hestehoven', 'Mefistofeles', 'motstandermakt', 'pokker', 'satan', 'styggen']"
50-årsdag,"['BSD', 'HPUX', 'Linux', 'Mac OS X', 'Solaris', 'Unix']"
78-plate,"['Dr', 'frue', 'frøken', 'Hr', 'høflig tiltale', 'min gode mann', 'min herre', 'mister']"
ANOVA,"['regresjonsanalyse', 'variansanalyse']"
Abiword,"['emacs', 'gedit', 'Kate', 'KWord', 'Notepad', 'OpenOfficeorg', 'Pagemaker', 'Quark express', 'Scribus', 'skriveprogram', 'tekstbehandlingsprogram', 'vi', 'vim', 'Word', 'Wordpad', 'WordPerfect', 'Works']"
Adam,"['det sterke kjønn', 'ektemann', 'fyr', 'gemal', 'gentleman', 'gubbe', 'hann', 'herre', 'kall', 'kar', 'make', 'mann', 'mannfolk', 'mannsperson', 'svein', 'svenn', 'type']"
Adresseavisen,"['Aftenposten', 'avis', 'Bergens Tidende', 'Dagbladet', 'Dagens næringsliv', 'dagsavis', 'Dagsavisen', 'Fædrelandsvennen', 'Morgenbladet', 'norsk avis', 'presse', 'Stavanger Aftenblad', 'tabloid', 'tabloidpresse', 'Verdens Gang', 'VG']"
