word,synonyms
a cerca de,"['a respeito de', 'sobre']"
a começar de,"['a partir de', 'desde']"
a esmo,['ao acaso']
à excepção de,"['excepto', 'fora', 'salvo', 'além de']"
a favor,['em prol']
à frente,"['adiante', 'avante']"
à parte,"['em separado', 'separadamente']"
a partir de,"['a começar de', 'desde']"
a partir de agora,"['de agora em diante', 'doravante']"
a respeito de,"['sobre', 'a cerca de']"
á-bê-cê,"['abecedário', 'alfabeto']"
a-propósito,['aparte']
a-tempo,['oportunidade']
à-toa,"['desprezível', 'insignificante']"
à-vontade,"['descontração', 'semcerimónia']"
aardvark,"['porcoformigueiro', 'timbo', 'oricterope', 'porcodaterra']"
ab-reptício,"['endemoninhado', 'exaltado']"
ab-rogação,"['anulação', 'abrogamento']"
ab-rogador,['abrogatório']
ab-rogamento,['abrogação']
ab-rogar,"['revocar', 'resilir', 'amputar', 'viciar', 'proscrever', 'rescindir', 'derrogar', 'revogar', 'abolir', 'anular', 'banir', 'cancelar', 'cassar', 'desatar', 'desfazer', 'desvalidar', 'dirimir', 'dissolver', 'eliminar', 'extinguir', 'invalidar', 'suprimir', 'suspender']"
ab-rogatório,['abrogador']
aba,"['fralda', 'borda', 'falda', 'margem', 'orla', 'sopé']"
ababadar,"['engelhar', 'encrespar', 'corrugar', 'vincar', 'crispar', 'embabadar', 'enrugar', 'franzir', 'preguear']"
ababalhar,['babar']
ababelado,['atrapalhado']
ababelar,"['embaralhar', 'baralhar', 'misturar']"
ababocado,['tolo']
abacá,['cofo']
abaçanado,"['bronzeado', 'amorenado', 'escuro']"
abaçanar,"['escurecer', 'amorenar']"
abacate,['abacateiro']
abacateiro,['abacate']
abacelar,['embacelar']
abacial,['abadengo']
abacinar,['escurecer']
abacto,['abigeato']
abada,"['rinoceronte', 'bada']"
abade,['pároco']
abadejo,['badejo']
abadengo,['abacial']
abadessa,"['superiora', 'prioresa', 'prelada']"
abadia,"['mosteiro', 'convento']"
abafação,"['ocultação', 'abafadela', 'sufocação', 'abafamento']"
abafadamente,['secretamente']
abafadela,['abafação']
abafadiço,"['bochornal', 'abochornado', 'abafante', 'irascível', 'sufocante']"
abafado,"['estrangulado', 'enfraquecido', 'contido', 'agasalhado', 'asfixiado', 'reprimido', 'roubado', 'sufocado']"
abafador,['sufocante']
abafadura,['abafamento']
abafamento,"['abafação', 'abafadura', 'sufocação']"
abafante,"['abafadiço', 'sufocante']"
abafar,"['ensurdecer', 'afanar', 'silenciar', 'tomar', 'mentir', 'saltear', 'arrancar', 'atafegar', 'contrafazer', 'omitir', 'solapar', 'bifar', 'rebuçar', 'mascarar', 'encobrir', 'paliar', 'embargar', 'agadanhar', 'comer', 'safar', 'subtrair', 'sonegar', 'embuçar', 'recalcar', 'empalmar', 'arrebatar', 'tirar', 'saquear', 'surripiar', 'aquecer', 'rapinar', 'cobrir', 'afogar', 'enroupar', 'amortecer', 'roubar', 'furtar', 'sufocar', 'acobertar', 'agasalhar', 'anular', 'asfixiar', 'bater', 'bispar', 'capear', 'colorir', 'conter', 'despojar', 'desvalijar', 'disfarçar', 'dissimular', 'encapotar', 'encobertar', 'envolver', 'escamotear', 'esconder', 'escorchar', 'esponjar', 'estrangular', 'gatear', 'gatunar', 'gatunhar', 'homiziar', 'larapiar', 'limpar', 'ocultar', 'rapar', 'reprimir', 'surrupiar', 'tapar', 'unhar']"
abafas,['bravatas']
abafeira,"['abafadura', 'abafação', 'agasalho', 'albufeira']"
abafo,"['agasalho', 'carinho', 'sufocação']"
abaganhar,['angariar']
abagoar,['desengranzar']
abainhar,"['bainhar', 'embainhar']"
abaixa-língua,"['cataglosso', 'glossocátoco']"
abaixa-luz,['abajur']
abaixado,"['abatido', 'humilhado']"
abaixador,['abaixante']
abaixamento,"['depressão', 'abatimento', 'descida', 'baixa', 'aviltamento', 'humilhação']"
abaixante,['abaixador']
abaixar,"['acalentar', 'assentar', 'cortar', 'temperar', 'achatar', 'amaciar', 'atenuar', 'desautorar', 'quebrantar', 'adoçar', 'aliviar', 'decrescer', 'lenificar', 'amortecer', 'amansar', 'aniquilar', 'diluir', 'arrefecer', 'suavizar', 'acachapar', 'pender', 'amesquinhar', 'mitigar', 'edulcorar', 'afagar', 'rasar', 'alisar', 'declinar', 'quebrar', 'inferiorizar', 'refrigerar', 'decair', 'aplanar', 'calar', 'alhanar', 'degradar', 'molificar', 'apagar', 'complanar', 'aviltar', 'brandear', 'amolecer', 'aligeirar', 'inclinar', 'amainar', 'acaçapar', 'deprimir', 'acocorar', 'abater', 'descer', 'abarbar', 'abemolar', 'abrandar', 'acalmar', 'achanar', 'afrouxar', 'agachar', 'ameigar', 'amenizar', 'apequenar', 'aplacar', 'aplainar', 'apoucar', 'aquebrantar', 'arriar', 'baixar', 'cair', 'calmar', 'ceder', 'descair', 'diminuir', 'emporcalhar', 'humilhar', 'igualar', 'laxar', 'lenir', 'malear', 'minorar', 'moderar', 'nivelar', 'prostituir', 'rebaixar', 'reduzir', 'remitir', 'respaldar', 'retundir']"
abaixo,"['juso', 'aquém']"
abaixo-assinado,"['solicitação', 'requerimento', 'petição', 'subscrição']"
abajoujado,['atoleimado']
abajoujamento,"['adulação', 'bajulação', 'lamechice']"
abajoujar,"['adular', 'atoleimar', 'bajular']"
abajur,"['quebraluz', 'abaixaluz', 'lucivelo', 'lucivéu', 'pantalha']"
abalada,"['abalo', 'saída', 'partida']"
abaladiço,"['oscilante', 'inseguro', 'vacilante', 'bambo', 'instável', 'frouxo', 'lasso', 'flácido', 'suxo']"
abalado,"['inseguro', 'aluído', 'comovido', 'impressionado', 'perturbado']"
abaladura,"['abalamento', 'aborto']"
abalamento,"['abaladura', 'abalo', 'agitação', 'balanço']"
abalançamento,"['atrevimento', 'audácia']"
abalançar,"['impulsar', 'jogar', 'arriscar', 'balouçar', 'menear', 'aventurar', 'fomentar', 'atrever', 'atirar', 'nutrir', 'arfar', 'atiçar', 'estimular', 'semear', 'agitar', 'impulsionar', 'abanar', 'afoitar', 'adejar', 'alimentar', 'arremessar', 'arrojar', 'balançar', 'botar', 'brandir', 'cometer', 'expor', 'impelir', 'oscilar', 'ousar', 'promover', 'sacudir']"
abalar,"['convulsionar', 'convelir', 'assaltar', 'avançar', 'transtornar', 'tocar', 'consumir', 'vascolejar', 'dispor', 'relaxar', 'sufocar', 'quebrar', 'saltear', 'azougar', 'ir', 'alterar', 'desgastar', 'solapar', 'desassossegar', 'bulir', 'preocupar', 'desacomodar', 'debilitar', 'retirar', 'arremeter', 'afastar', 'conturbar', 'agredir', 'abandonar', 'acometer', 'mover', 'atirar', 'atumultuar', 'escarvar', 'tumultuar', 'embotar', 'minar', 'perturbar', 'enfraquecer', 'alvoroçar', 'vacilar', 'emocionar', 'partir', 'estremecer', 'comover', 'concutir', 'aluir', 'combalir', 'sacudir', 'agitar', 'abater', 'afetar', 'afracar', 'afrouxar', 'alborotar', 'alvorotar', 'aquebrantar', 'arrasar', 'arrombar', 'atacar', 'baquear', 'carregar', 'convulsar', 'crescer', 'demover', 'desanimar', 'desaparecer', 'desparecer', 'disturbar', 'empolgar', 'enternecer', 'entibiar', 'excitar', 'fragilizar', 'impressionar', 'inquietar', 'intranquilizar', 'investir', 'opugnar', 'piriricar', 'quebrantar', 'remeter', 'sacolejar', 'tremer', 'voltar']"
abalizado,"['provecto', 'consumado', 'balizado', 'distinto', 'eminente']"
abalizador,['crítico']
abalizar,"['divisar', 'delimitar', 'balizar', 'assinalar', 'assinar', 'demarcar', 'distinguir', 'dividir', 'marcar', 'sinalar']"
abalo,"['tranco', 'tremor', 'balanço', 'perturbação', 'sucussão', 'sacudidura', 'concussão', 'susto', 'choque', 'abalamento', 'abalada', 'alvoroço', 'comoção', 'emoção', 'partida', 'sacudida', 'surpresa', 'terremoto', 'trepidação']"
abalofar,['afofar']
abalroa,['balroa']
abalroação,"['choque', 'abalroamento', 'colisão', 'encontro']"
abalroada,['abalroamento']
abalroador,['abalroante']
abalroados,['abordados']
abalroamento,"['choque', 'abalroação', 'abalroada', 'colisão', 'encontro']"
abalroante,['abalroador']
abalroar,"['tocar', 'embater', 'chocar', 'balroar', 'bater', 'colidir', 'encontrar', 'trombar']"
abalsar,"['abrenhar', 'remergulhar', 'embrenhar', 'imergir', 'adentrar', 'atufar', 'embeber', 'entranhar', 'mergulhar', 'meter']"
