word,synonyms
încontinuu,"['întruna', 'mereu', 'perpetuu', 'necontenit', 'neîntrerupt', 'neîncetat', 'permanent']"
vetricea,"['granat', 'spilcuță']"
vetrice,"['efemeră', 'efemeridă']"
vetricea,['piretru']
veșnicie,"['eternitate', 'nemurire', 'vecie', 'livr perpetuitate', 'reg săvârșie', 'înv nemuritorie']"
veșted,"['fanat', 'trecut']"
veșteji,"['blama', 'condamna', 'dezaproba', 'fana', 'înfiera', 'proscrie', 'reproba', 'respinge', 'stigmatiza', 'trece']"
veștejire,"['blam', 'blamare', 'condamnare', 'dezaprobare', 'înfierare', 'neaprobare', 'reprobare', 'respingere', 'stigmatizare']"
veștejit,"['fanat', 'trecut']"
veterinar,"['înv și reg nalbant', 'reg nălbar']"
veterinărie,['medicină veterinară']
vetielă,"['corabie', 'pânză', 'umbrelă', 'velă']"
vetri,"['adulmeca', 'mirosi']"
vetrice,"['reg mărun', 'măruncă', 'buruianădeceasrău', 'iarbaraiului']"
veșnic,"['etern', 'nemuritor', 'nepieritor', 'nesfârșit', 'neuitat', 'perpetuu', 'viu', 'livr sempitern', 'înv neapus', 'pururelnic', 'nesăvârșit', 'fig nestins', 'etern', 'pururi', 'totdeauna', 'continuu', 'continuu', 'întotdeauna']"
veșmântar,['vestimentar']
veșca,"['văcălie', 'Transilv veacă', '\\\\~ $sitei, a ciurului', 'reg strat', 'Transilv veacă']"
veșmânt,['haină']
veston,"['sacou', 'surtuc']"
vestitor,"['crainic', 'profet', 'anunțător', 'prevestitor']"
vestit,"['celebru', 'consacrat']"
vestire,"['informare', 'anunțare', 'anunțare', 'încunoștințare', 'înștiințare', 'înv publicare', 'publicație', 'publicuire', 'prezicere']"
vestigiu,"['relicvă', 'la     moaște']"
vestimentar,['înv veșmântar']
vestimentație,['îmbrăcăminte']
vestic,['occidental']
vestiar,['garderobă']
vestibul,"['antreu', 'hol', 'sală']"
vesti,"['informa', 'comunica', 'anunța', 'a anunța', 'a încunoștința', 'a înștiința', 'înv a publica', 'a publicarisi', 'a publicălui', 'a publicui', 'prezice', 'prevesti']"
veste,"['strigări', 'vestiri']"
vestegălui,"['folosi', 'întrebuința', 'recurge', 'servi', 'sluji', 'utiliza', 'uza']"
veste,"['știre', 'mesaj', 'știre', 'înv solie', 'informație', 'cunoștință', 'informație', 'știre', 'prin Transilv hir', 'înv mărturie', 'pliroforie', 'știință', 'faimă', 'renume', 'rar pomină']"
vestă,"['jiletcă', 'pop laibăr']"
vest,"['apus', 'asfințit', 'înv și pop sfințit', 'pop scăpătat', 'soareapune', 'înv și reg scapăt', 'reg scăpătiș', 'occident']"
veselos,"['vesel', 'voios']"
vespasiană,['pisoar']
vesperal,['seral']
veselnic,['înveselitor']
veselit,['înveselit']
veselitor,['înveselitor']
veselitură,"['veselie', 'voioșie']"
veselire,['înveselire']
veselie,"['voioșie', 'livr jovialitate', 'înv veselitură', 'desfătare', 'petrecere', 'rar desfăt', 'înv desfătăciune', 'haz']"
veseli,['înveseli']
veselă,['văsărie']
vezuriu,['verzui']
vesel,"['glumeț', 'bucuros', 'voios', 'livr jovial', 'rar râzăreț', 'râzător', 'pop tivilichiu', 'înv și reg sămărit', 'reg chefos', 'veselos', 'Transilv vigan', 'înv libovit', 'râzăcios', 'râzând', 'veget', 'O fire \\\\~', 'amuzant', 'umoristic']"
verzișoare,['varză de bruxelles']
verzitură,"['cocleală', 'patină']"
verziu,['verzui']
verzui,"['rar verziu', 'verzuriu', 'pop prăzuliu', 'verzuliu', 'reg verdunc', 'înv verdos']"
verzuliu,['verzui']
verzișoară,"['boiștean', 'borșișor', 'iarbădeureche', 'rămurele', 'rujă', 'urechelniță']"
verzi,['ecologiști pl']
verziș,"['vegetație', 'verdeață']"
verzișoară,['vărzuță']
verzal,['majuscul']
verzală,['majusculă']
verzăciune,['verzitură']
vertiginos,"['precipitat', 'fig prăpăstios', 'vijelios', 'amețitor', 'fulgerător', 'precipitat']"
vertij,['amețeală']
verucă,['neg']
verucos,['rar negos']
verucozitate,['neg']
vervă,"['vioiciune', 'volubilitate', 'patos']"
vervenă,"['urzicuță', 'verbină']"
verver,"['clanță', 'ivăr', 'încuietoare']"
verticilar,['verticilat']
verticilat,['înv verticilar']
verticalitate,['perpendicularitate']
vertical,"['drept', 'erect', 'abrupt', 'drept', 'perpendicular', 'înv prost']"
vertebră,['înv coinac']
vertep,"['irozi', 'vicleim']"
vertex,"['creștet', 'sinciput', 'pop și fam scăfârlie', 'Ban și vestul Olt teme']"
versurel,['rar stihurel']
verș,"['poezie', 'stihuri', 'vers', 'versuri']"
vertebrat,['craniat']
versuri,"['rima', 'versifica']"
versuire,"['versificare', 'versificație']"
versuit,['rimat']
versuitor,"['poet', 'versificator']"
versor,['vector unitar']
verso,"['contrapagină', 'dos']"
versiune,"['variantă', 'traducere']"
versificator,['poet']
versificație,"['versificare', 'înv stihuire', 'versuire', 'prozodie']"
versificare,['versificație']
versificator,"['rar versuitor', 'înv stihuitor']"
versifica,"['a rima', 'rar a stihui', 'înv a poetiza', 'a versui']"
versat,"['competent', 'experimentat']"
verset,"['stih', 'rar vers', 'înv soroacă']"
verpeli,"['canoni', 'căzni', 'chinui', 'forța', 'frământa', 'munci', 'necăji', 'osteni', 'sforța', 'sili', 'strădui', 'trudi', 'zbate', 'zbuciuma']"
versant,['pantă']
vers,"['Mold și Transilv verș', 'înv stih', 'la     poezie', 'stihuri pl', 'Mold și Transilv vers', 'rimă']"
verosimilitudine,"['admisibilitate', 'credibilitate', 'plauzibilitate', 'verosimilitate']"
verosimilitate,['plauzibilitate']
verosimil,['plauzibil']
veros,"['dubios', 'suspect']"
veronal,['acid dietilbarbituric']
veronică,"['sporiș', 'verbină']"
vernisare,['vernisaj']
verolă,"['lues', 'sifilis']"
verolămică,"['variolă', 'vărsat']"
vernisaj,"['inaugurare', 'vemisare']"
vernisa,"['înv a vernichiari', 'a deschide', 'a inaugura']"
vernis,"['lac', 'înv vernichiu']"
vernichiu,"['lac', 'vernis']"
vernier,['nonius']
vernichiari,['vernisa']
vermillon,"['chinovar', 'cinabru']"
vernal,['primăvăratic']
vermorel,['Ban și Transilv șpriț']
vermină,['paraziți']
vermiform,['vermicular']
vermifug,['antihelmintic']
vermeti,"['agita', 'colcăi', 'foi', 'forfoti', 'frământa', 'furnica', 'mișui', 'mișuna', 'roi', 'viermui']"
vermicular,['vermiform']
veritate,"['adevăr', 'realitate', 'veridicitate']"
verișor,"['văr', 'pop și fam veric', 'verișcan', 'Maram verincel']"
veritabil,"['adevărat', 'adevărat', 'autentic', 'curat', 'neaoș', 'pop și fam sadea', 'getbeget', 'adevărat', 'autentic', 'curat', 'nefalsificat', 'original', 'autentic', 'bun', 'curat', 'rar patent', 'natural']"
verișcană,"['vară', 'verișoară']"
verișoară,"['vară', 'reg vărușană', 'vericea', 'vericică', 'verișană', 'verișcană', 'Munt șoală']"
verișană,"['vară', 'verișoară']"
verișcan,"['văr', 'verișór']"
veriguță,['rar verigea']
verincă,"['cearșaf', 'cergă', 'cuvertură', 'învelitoare', 'pătură', 'velință']"
verincel,"['văr', 'verișor']"
verigi,"['cătușe', 'fiare']"
verighetă,"['inel', 'pop verigă', 'prin Ban burmă']"
verigel,['reg săgeataluiDumnezeu']
verigea,['veriguță']
