word,synonyms
а,"['но', 'однако же', 'только']"
абонировать,['нанимать']
абракадабра,['сапоги всмятку']
абсолютный,['относительный']
абсурд,"['абракадабра', 'сапоги всмятку']"
авантюрист,['бродяга']
автор,['писатель']
авторитет,"['достоинство', 'знаток']"
агент,"['посредник', 'деятель']"
ад,['беспорядок']
адвокат,['защитник']
адепт,['воспитанник']
адский,['райский']
азарт,"['горячность', 'входить в азарт', 'увлекаться', 'горячиться']"
азбучный,['наивный']
азиат,['образованный']
академия,"['школа', 'училище', 'учебное заведение', 'питомник', 'рассадник']"
аккуратность,['вероломство']
аккуратный,['небрежный']
аксиома,['ложь']
акт,['свидетельство']
актер,['лицедей']
акушерка,"['акушер муж', 'повитуха', 'повивальщица', 'повивальная бабка']"
алкоголик,['пьяный']
аллегория,['знак']
аллюр,"['рысь', 'рысца', 'галоп', 'карьер', 'иноходь', 'трусца']"
алчность,['желание']
алый,"['красный', 'багряный', 'червленый', 'пурпуровый', 'багровый', 'пунцовый', 'малиновый', 'румяный', 'рыжий', 'розовый', 'коричневый']"
альтернатива,['коллекция']
аляповатый,['красивый']
амбиция,['обиженный']
амулет,"['ладанка', 'талисман']"
анализ,['синтез']
анализировать,['испытывать']
аналогичный,"['как', 'одинаковый']"
аналогия,['сходство']
ангел,"['диавол', 'бес']"
ангельский,"['справедливый', 'кроткий']"
анекдот,['сказка']
аномалия,['недостаток']
антагонизм,"['вражда', 'соперничество', 'неприязнь', 'противодействие', 'нелюбовь', 'недоброжелательство']"
антипатия,"['неприятный', 'вражда']"
антракт,['отдых']
апатичный,['ленивый']
аплодировать,"['рукоплескать', 'хлопать', 'бить в ладоши']"
апогей,"['верх', 'вершина', 'высшая степень', 'высшая точка', 'зенит', 'кульминационный пункт', 'геркулесовы столбы', 'крайность', 'предел', 'максимум']"
аппетит,"['намерение', 'корыстолюбие', 'любовь', 'попытка']"
аппетитный,"['вкусный', 'лакомый', 'приятный на вкус', 'смачный', 'сочный', 'сладкий']"
арапник,['бич']
аргумент,['доказательство']
арена,['место']
ареопаг,['суд']
арестант,"['колодник', 'узник', 'заключенный']"
арестантская,"['темница', 'тюрьма']"
аристократ,"['рыцарь', 'джентльмен']"
аристократический,['благородный']
аристократия,['знать']
аристократствовать,"['рисоваться', 'гордиться']"
арматура,"['имущество', 'коллекция', 'положение']"
армия,['войско']
аромат,['запах']
артачиться,['уступать']
артист,['опытный']
ассортимент,['коллекция']
астроном,"['звездочет', 'астролог']"
атаковать,"['входить', 'проходить', 'проникать', 'вмешиваться']"
атаман,['начальник']
атлет,"['великан', 'сильный']"
атмосфера,"['общество', 'коллекция']"
атрибут,"['принадлежность', 'свойство']"
аттестат,['свидетельство']
афоризм,['изречение']
афронт,['обида']
ахинея,"['абракадабра', 'сапоги всмятку']"
баба,"['барышня', 'дама', 'матрона', 'старуха']"
багаж,"['время', 'имущество']"
багровый,['красный']
базар,['беспорядок']
бал,['пир']
балаган,"['сцена', 'театр', 'выговаривать']"
балаганный,"['грубый', 'безнравственный', 'обыкновенный']"
балагурить,"['врать', 'говорить', 'беседовать']"
балка,['дерево']
