word,synonyms
Šrilanka,['Cejlon zastarelo']
@,['afna žargon']
šabat,"['šabes', 'sabat', 'sobota']"
šabes,"['šabat', 'sabat', 'sobota']"
šablona,"['obrazec', 'stereotip', 'vzorec']"
šajtrga,"['šajtrga nizko', 'karjola nizko', 'samokolnica']"
šal,"['pasica', 'prepasnica']"
šala,"['štos žargon', 'vic']"
šaliti se,"['briti norce', 'norčevati se']"
šaljiv,"['hudomušen', 'komičen', 'pavlihast']"
šaljivec,"['štoser žargon', 'lahkomiselnež', 'neresnež', 'obešenjak']"
šaman,['vrač']
šamoa,['irhovina']
šamota,['retorta']
šampanjec,"['šampanjec pogovorno', 'peneče vino', 'penina', 'sekt']"
šampinjon,['kukmak']
šampion,['prvak']
šampionat,['prvenstvo']
šank,"['šank pogovorno', 'točilna miza', 'točilni pult']"
šansa,"['šansa pogovorno', 'prilika', 'priložnost']"
šanson,"['chanson', 'pesem', 'popevka']"
šantati,"['šantati slabšalno', 'šepati']"
šantavost,"['šantavost slabšalno', 'šepavost', 'kruljavost ekspresivno']"
šapa,['taca']
šarža,"['šarža zastarelo', 'čin']"
šaržer,['okvir']
šariti,"['brčkati', 'brkljariti ekspresivno', 'brkljati pogovorno', 'brskati', 'stikati']"
šarm,"['draž', 'dražest', 'ljubkost', 'mik', 'mikavnost', 'očarljivost', 'privlačnost']"
šarnir,['zapirnica']
šarovit,"['šarovit zastarelo', 'pisan', 'raznobarven']"
šavje,['ščavje']
še,"['prav tako', 'ravno tako', 'tudi']"
šešljati,['šušnjati']
ščavje,['šavje']
šebenik,['Erysimum strokovno']
ščebljati,['čebljati']
ščegetavček,['klitoris']
ščetka,['krtača']
šef,"['bos žargon', 'vodja']"
šega,"['šega starinsko', 'navada', 'običaj']"
ščipalka,['kljukica pogovorno']
ščitarka,['kobra']
ščitovka,['aspidistra']
šen,['erizipel']
šenk,"['šenk pogovorno', 'dar', 'darilo', 'naklonilo zastarelo', 'naklonitev zastarelo', 'podarek zastarelo', 'poklon zastarelo', 'poklonilo zastarelo', 'poklonitev zastarelo', 'poklonstvo zastarelo', 'prezent zastarelo', 'vezilo zastarelo']"
šent,"['šment', 'hudič', 'hudiman', 'hudimar', 'hudir', 'hudnik', 'parkelj', 'peklenšček', 'rogač', 'satan', 'skušnjavec', 'vrag', 'vragec', 'vranč', 'zlobec', 'zlodej']"
šentjanževka,"['Hypericum perforatum strokovno', 'krčnica', 'krvavec']"
šepast,['šepav']
šepati,['šantati slabšalno']
šepav,['šepast']
šepavec,['šepec']
šepavost,"['šantavost slabšalno', 'kruljavost ekspresivno']"
šepec,['šepavec']
šepetaje,"['šepetajoč', 'šepetoma']"
šepetajoč,"['šepetaje', 'šepetoma']"
šepetalec,['sufler']
šepetalski,['suflerski']
šepetati,['suflirati']
šepetoma,"['šepetaje', 'šepetajoč']"
šesterec,"['heksaeder', 'kocka', 'kub', 'kubus']"
šesternik,['sekstant']
šesti sklon,"['instrumental', 'orodnik']"
šestomer,['heksameter']
ščuvač,"['ščuvalec', 'hujskač']"
ščuvalec,"['ščuvač', 'hujskač']"
ščuvalen,"['hujskaški', 'podpihovalski']"
ščuvati,"['šuntati nizko', 'harangirati', 'hujskati']"
šiška,['cecidij']
