word,synonyms
add,"['ADD term', 'ADHD term', 'porucha pozornosti term']"
adhd,"['ADD term', 'ADHD term', 'porucha pozornosti term']"
angličan,['Brit']
boh,['Angličan']
brit,['Angličan']
carihrad,['Istanbul']
h2o,['1']
hádes,['podsvetie']
iluzionista,"['Kúzelník', 'Mág']"
ilúzia,['1']
istanbul,['Carihrad']
ježiš,"['Boh', 'Kristus', 'Spasiteľ', 'Vykupiteľ']"
kristus,"['Boh', 'Ježiš', 'Spasiteľ', 'Vykupiteľ']"
kúzelník,['1']
lucifer,"['Satan', 'diabol', 'démon', 'zlý duch', 'čert']"
mág,"['OK hovorovo', 'okej hovorovo', 'súhlas', 'áno']"
ok,"['OK hovorovo', 'okej hovorovo', 'súhlas', 'áno']"
panova píšťala,['syrinx']
pascha,['Veľká noc']
písmo sväté,"['biblia', 'posvätná kniha', 'písmo']"
satan,"['Lucifer', 'diabol', 'démon', 'zlý duch', 'čert']"
spasiteľ,['1']
veľká noc,['Pascha']
vykupiteľ,"['Spasiteľ', 'Záchranca']"
wc,"['toaleta', 'záchod']"
záchranca,"['Spasiteľ', 'Vykupiteľ']"
a priori,['nezávisle od skúsenosti']
abdikovať,['odstúpiť']
abdikácia,['odstúpenie z úradu']
abdominálny,['brušný']
aberantný,['odchylný']
aberácia,['odchylka']
abiotický,"['neschopný života', 'neživý']"
abiturient,['absolvent']
abnormalita,"['abnormita archaizmus', 'mimoriadnosť', 'neobvyklosť', 'odchylka', 'zriedkavosť', 'zvláštnosť']"
abnormita,"['abnormalita', 'abnormita archaizmus', 'mimoriadnosť', 'neobvyklosť', 'odchylka', 'zriedkavosť', 'zvláštnosť']"
abnormálny,"['mimoriadny', 'nenormálny', 'nepravidelný', 'nezvyčajný', 'odlišný', 'osobitný', 'zvláštny']"
abonent,['predplatiteľ']
abonnement,"['predplatné', 'subskripcia']"
abortus,"['abortus term', 'potrat']"
abreakcia,"['abreakcia term', 'odreagovanie']"
absencia,['neprítomnosť']
absentujúci,"['neprítomný', 'nezvestný']"
absentácia,['nepritomnosť']
absolutistický,['neobmedzený']
absolvent,['abiturient']
absolútna viskozita,['dynamická viskozita']
absolútne,"['až do konca', 'celkom', 'iba', 'jedine', 'plne', 'vcelku', 'vôbec', 'výhradne', 'úplne']"
absolútny,"['infinitezimálny term', 'neobmedzený', 'neohraničený', 'nezávislý', 'samostatný', 'úplný']"
absorbcia,"['pohlcovanie', 'zachytávanie']"
abstinencia,"['abstinencia term', 'zdržanlivosť', 'zriekanie sa']"
abstraktný,"['nekonkrétny', 'vzdialený']"
absurdný,"['bezdôvodný', 'bezmyšlienkový', 'kontradiktorický term', 'nezmyselný']"
abuzabilita,"['abuzabilita term', 'zvýšená dispozícia byť obeťou']"
abúlia,"['abúlia term', 'nerozhodnosť']"
abúzus,"['nadužívanie', 'týranie', 'zneužívanie', 'závislosť']"
acetonémia,"['acetonémia term', 'hladina acetónu v krvi', 'ketonémia term']"
achloropsia,"['achloropsia term', 'achromatopsia term', 'daltonizmus term', 'farbosleposť', 'nikotinizmus term']"
achromatický,"['achromatický term', 'bezfarebný']"
achromatopsia,"['achloropsia term', 'achromatopsia term', 'daltonizmus term', 'farbosleposť', 'nikotinizmus term']"
acrai,"['acrai term', 'nynfománia']"
adaptibilita,['prispôsobivosť']
adaptovaný,"['prispôsobený', 'upravený']"
adaptovať,"['prerobiť', 'prispôsobiť', 'prispôsobovať', 'upraviť']"
adaptácia,"['adjustácia term', 'akomodácia term', 'prispôsobenie', 'úprava']"
adekvátne,"['primerane', 'správne', 'vhodne']"
adekvátnosť,['primeranosť']
adekvátny,"['patričný', 'primeraný']"
adept,"['bažant', 'mladý vojak', 'nováčik', 'regrút', 'ucho', 'ucháň', 'začiatočník', 'zelenáč', 'zobák']"
adhezivný,['priľnavý']
adhézny,"['lepiaci', 'lepivý', 'lepkavý', 'priľnavý']"
aditívny,['prídavný']
adjustácia,"['adaptácia', 'adjustácia term', 'akomodácia term', 'prispôsobenie', 'úprava']"
administratíva,['správa']
administratívny,"['byrokratický', 'správny', 'úradný']"
administrácia,"['riadenie', 'správa']"
administrátor,"['správca', 'superpoužívateľ']"
adopcia,"['osvojenie', 'prijatie']"
adoptovanie,['osvojenie si']
adoptovať,"['osvojiť si', 'prijať za vlastné']"
adresovať,"['obrátiť sa na', 'osloviť']"
adresár,['priečinok']
adresát,['príjemca']
aerodróm,['letisko']
aeronaut,"['aviatik', 'letec', 'pilot']"
afekt,"['afektovanosť', 'strojenosť', 'umelosť']"
afektovanosť,"['afekt', 'strojenosť', 'umelosť']"
afektovaný,"['neprirodzený', 'prehnaný', 'strojený']"
agent,"['vyzvedač', 'špión']"
agregovaný,"['agregovaný term', 'akcesorický term', 'nepodstatný', 'nepričlenený', 'vedľajší']"
agregácia,"['nahromadenie', 'zoskupenie']"
agresia,"['atak', 'napadnutie', 'nápor', 'výboj', 'útok']"
agresivita,['útočnosť']
agresívny,"['bojovný', 'invázny', 'vojnový', 'výbojný', 'útočný']"
agrypnia,"['agrypnia term', 'insomnia term', 'nespavosť']"
agrárny,['poľnohospodársky']
agát,['akácia']
agónia,['umieranie']
ahoj,"['nazdar', 'čau']"
aidoiománia,"['aidoiománia term', 'amour insanus term', 'erotománia term']"
aj keď,['hoci']
aj tak,"['napriek', 'navzdory']"
akademická hodnosť,['diplom']
akademický,"['univerzitný', 'vysokoškolský']"
akcelerácia,['zrýchlenie']
akcent,"['dôraz', 'prízvuk']"
akceptor,['príjemca']
akceptovanie,"['akceptácia', 'prijatie', 'prijímanie']"
akceptovaný,['prijatý']
akceptovať,"['prijať', 'uznať']"
akceptácia,"['akceptovanie', 'prijatie', 'prijímanie']"
akcesorický,"['agregovaný term', 'akcesorický term', 'nepodstatný', 'nepričlenený', 'vedľajší']"
akcia,"['rabat', 'zrážka', 'zľava']"
akcidentálny,"['akcidentálny term', 'nepodstatný', 'nesúvisejúci', 'náhodný']"
aklimatizácia,['prispôsobovanie sa']
akné,"['beďary nesprávne', 'bodky hovorovo', 'pupáky hovorovo', 'trudovina term', 'vriedky', 'vyrážky']"
ako,['sťa poeticky']
ako celok,['v celku']
ako na zavolanie,['vhod']
ako obrázok,['malebný']
ako zo škatuľky,['upravený']
akomodácia,"['adaptácia', 'adjustácia term', 'akomodácia term', 'prispôsobenie', 'úprava']"
akonáhle,"['akonáhle nesprávne', 'hneď ako', 'len čo']"
akord,['súzvuk']
akosť,"['hodnota', 'kvalita']"
akreditovať,['uznať']
akrobat,['povrazolezec']
akt,"['skutok', 'výkon', 'úkon', 'čin']"
aktivita,['činnosť']
aktivizácia,['nabudenie']
aktovka,"['brašna', 'kabela', 'kufrík']"
aktuálny,"['moderný', 'módny', 'súdobý', 'súčasný', 'neaktuálny Antonym']"
aktívnosť,"['alertnosť term', 'bdelosť', 'činnosť']"
aktívny,"['činný', 'činorodý']"
aktívum,"['prínos', 'výhoda']"
akumeter,"['akumeter term', 'audiometer term']"
akumulovanie,['hromadenie']
akumulovať,['zhromažďovať']
akumulátor,['batéria']
akurát,['dosť']
akurátny,"['akurátny hovorovo', 'precízny', 'presný']"
akustický,"['sluchový', 'tonálny', 'zvukový']"
akvadukt,['vodovod']
akvafóbia,"['akvafóbia term', 'hydrofóbia term']"
akvizícia,"['kúpa', 'nadobudnutie', 'obstaranie term', 'získanie']"
akácia,['agát']
akútny,"['naliehavý', 'neodkladný', 'okamžitý', 'súrny']"
akýkoľvek,['každý']
akčný,"['výkonný', 'činný']"
alarm,['poplach']
albuminúria,"['albuminúria term', 'proteinúria term']"
albín,['blonďák hovorovo']
ale,"['ibaže', 'lenže', 'no']"
alebo,['taktiež']
alegorický,"['metaforický', 'obrazný', 'prenesený', 'symbolický']"
alegória,"['inotaj', 'obrazné vyjadrenie']"
aleja,['stromoradie']
alela,"['alela term', 'alelomorfa term', 'allela term']"
alelomorfa,"['alela term', 'alelomorfa term', 'allela term']"
alelopatia,"['alelopatia term', 'allelopatia term', 'antibióza term']"
alergia,"['alergóza term', 'hypersenzitivita term']"
alergóza,"['alergia', 'alergóza term', 'hypersenzitivita term']"
alertnosť,"['aktívnosť', 'alertnosť term', 'bdelosť', 'činnosť']"
algezimeter,"['algezimeter term', 'algometer term']"
algofília,"['algofília term', 'algománia term', 'macochizmus term']"
algolangia,"['algofília term', 'algolangia term', 'neronizmus term', 'sadizmus term']"
algológia,"['algológia term', 'dysmenorea term']"
algometer,"['algezimeter term', 'algometer term']"
algománia,"['algofília term', 'algománia term', 'macochizmus term']"
aliancia,['spojenectvo']
alias,"['inak', 'inak zvaný', 'nazývaný']"
alienofóbia,"['alienofóbia term', 'xenofóbia term']"
alienácia,"['alienácia term', 'odcudzenie']"
alimentárny,"['alimentárny term', 'potravový', 'výživový']"
alkalický,"['bázický', 'zásaditý']"
alkohol,"['etanol term', 'hypnosedativum term', 'kvit hovorovo', 'lieh', 'špiritus hovorovo']"
alkoholický,['alkoholový']
alkoholik,"['korheľ hovorovo', 'notorik', 'opilec', 'ožran vulgarizmus', 'pijak hovorovo', 'pijan']"
alkoholizmus,"['etylizmus term', 'nestriedmosť', 'opitosť', 'pijanstvo']"
alkoholový,['alkoholický']
allela,"['alela term', 'alelomorfa term', 'allela term']"
allelopatia,"['alelopatia term', 'allelopatia term', 'antibióza term']"
almanach,['ročenka']
almara,"['almara archaizmus', 'skrinka', 'skriňa']"
alogizmus,"['alogizmus term', 'nelogickosť']"
alokovať,"['rezervovať', 'vyhradiť miesto']"
alokácia,"['rozloženie', 'rozmiestenie', 'umiestenie']"
alopencia,"['alopencia term', 'bosohlavosť nesprávne', 'holohlavosť', 'plešatosť']"
alpinizmus,['horolezectvo']
alpínka,['skalnička']
alter ego,"['alter ego term', 'id term', 'ono']"
alterovanie,"['alterovanie term', 'alterácia term', 'premena', 'striedanie', 'zmena']"
alterácia,"['alterovanie term', 'alterácia term', 'premena', 'striedanie', 'zmena']"
altruistický,"['neegocentrický', 'neegoistický', 'nesebecký']"
altánok,"['besiedka', 'pergola', 'záhradná besiedka']"
amant,"['milenec', 'miláčik', 'milý', 'nápadník']"
amatér,"['laik', 'neodborník', 'neprofesionál']"
amauróza,"['amauróza term', 'nevidomosť', 'slepota']"
ambasádor,['veľvyslanec']
ambiciózny,"['ctižiadostivý', 'horlivý', 'pilný archaizmus', 'snaživý', 'usilovný']"
ambisexualita,"['ambisexualita term', 'bisexualita', 'hermafroditizmus']"
ambivalencia,"['ambivalencia term', 'ambivalentnosť term', 'dilema', 'dvojznačnosť', 'nejednoznačnosť', 'nerozhodnosť', 'rozpornosť']"
ambivalentnosť,"['ambivalencia term', 'ambivalentnosť term', 'dilema', 'dvojznačnosť', 'nejednoznačnosť', 'nerozhodnosť', 'rozpornosť']"
ambulancia,"['lekárska pracovňa', 'ordinácia']"
ambulantný,"['ambulantný term', 'dochádzajúci', 'dochádzkový']"
ambícia,['cieľ']
ambície,"['ašpirácie', 'ctižiadosť']"
amencia,"['amencia archaizmus', 'pomätenosť']"
amnestia,['omilostenie']
amnézia,['strata pamäti']
amok,['zúrivosť']
amoniak,['čpavok']
amoralita,['nemoralita']
amorfný,"['beztvarý', 'neforemný', 'rozplývavý']"
amortizovaný,"['odpísaný', 'umorený']"
amortizovať,['odpisovať']
amorálny,"['nemorálny', 'nemravný']"
amour insanus,"['aidoiománia term', 'amour insanus term', 'erotománia term']"
amplión,['reproduktor']
ampulka,"['fľaša', 'fľaštička', 'nádobka']"
analfabetický,['negramotný']
analogický,"['korešpondujúci', 'obdobný', 'podobný']"
analyzovať,"['demontovať', 'rozmontovať', 'rozoberať']"
analógia,"['obdoba', 'podobnosť']"
analýza,['rozbor']
anarchia,"['bezvládie', 'chaos', 'neporiadok', 'spleť', 'zmätok']"
anatómia,"['konštrukcia', 'stavba']"
android,"['automat', 'golem', 'robot']"
anekdota,"['psina', 'sranda nesprávne', 'vtip', 'zábava', 'špás', 'žart']"
angažmá,['zmluva']
angažovať,"['prijať', 'zamestnať']"
angažovať sa,"['exponovať sa', 'zasadzovať sa']"
ani jeden,['žiadny']
anihilácia,"['anihilácia term', 'zmiznutie', 'zánik']"
animálny,"['zvierací', 'živočíšny']"
anomália,"['nepravidelnosť', 'odchýlenie', 'odchýlka', 'odklon', 'odklonenie', 'odvrat', 'rozdiel', 'výkyv', 'výnimočnosť']"
anonymný,"['bezmenný', 'nepodpísaný', 'neznámy']"
anorganický,"['neústrojný', 'neživý']"
antagonický,"['nepriateľský', 'nezmieriteľný']"
antagonista,"['odporca', 'oponent', 'protivník', 'sok', 'súper']"
antagonistický,['protichodný']
antagonizmus,"['nepriateľstvo', 'protirečenie', 'rozpor']"
antibióza,"['alelopatia term', 'allelopatia term', 'antibióza term']"
anticipovať,"['očakávať', 'predvídať']"
antika,['dávnovek']
antikoro,['nerez']
antikvárny,"['použitý', 'starožitnický', 'starožitný', 'starý', 'upotrebený hovorovo']"
antipatia,"['averzia', 'hnus', 'nechuť', 'nevôľa', 'neľúbosť', 'odpor', 'odpornosť', 'ohavnosť', 'ošklivosť', 'rezistencia']"
antipatický,"['nemilý', 'nepríjemný', 'nesympatický', 'odporný']"
antipód,['protinožec']
antiseptikum,['dezinfekčný prostriedok']
antonymum,"['opak', 'opozitum']"
antropofág,"['kanibal', 'ľudožrút']"
antropomorfizácia,"['personifikácia', 'zľudšťovanie']"
anuita,"['dôchodok', 'renta', 'splátka']"
