word,synonyms
a tja,['hej']
abakus,['kulram']
abbreviera,['förkorta']
abdikera,['avgå']
abnorm,"['missbildad', 'onaturlig', 'onormal']"
abnormitet,['avvikelse']
abonnent,['prenumerant']
abonnera,"['boka', 'prenumerera']"
abrupt,"['plötslig', 'plötsligt', 'tvärt']"
absolut,"['helt', 'precis', 'fullkomligt', 'tveklöst', 'fullkomlig', 'total', 'exakt', 'otvetydig', 'ovillkorlig', 'ovillkorligen', 'definitiv', 'definitivt', 'otvivelaktigt', 'säkert', 'tvärsäkert', 'självklart', 'verkligen']"
absorbera,['uppta']
absorberad,['uppslukad']
abstinens,['sug']
abstrakt,['ogripbart']
absurd,"['befängd', 'löjlig', 'orimlig', 'sjuk', 'helkonstig', 'knäpp']"
acceleration,['ökning']
accelerera,['öka']
accent,"['uttal', 'brytning']"
accentuera,"['markera', 'framhålla', 'understryka', 'betona']"
accentuering,['betoning']
accept,['godkännande']
acceptabel,"['hyfsad', 'rimlig', 'godkänd', 'gångbar', 'dräglig', 'godtagbar']"
acceptabelt,['ok']
acceptans,['godkännande']
acceptera,"['ja', 'godkänna', 'tillåta', 'okej', 'godta', 'godtaga']"
accepterande,"['tolerans', 'godkännande']"
access,"['tillgänglighet', 'tillgång', 'åtkomst', 'tillträde']"
accessoarer,['smycken']
acklimatisera,"['vänja sig', 'anpassa']"
ackumulation,['ansamling']
ackumulera,"['hopa', 'samla', 'lagra']"
ackurat,"['exakt', 'precis']"
acne,['finnar']
adaptation,['anpassning']
addera,"['tillsätta', 'summera', 'tillägga', 'lägga ihop', 'lägga till']"
adderande,['kumulativ']
adekvat,"['korrekt', 'passande', 'relevant', 'riktig', 'likvärdig', 'fullgod', 'lämplig']"
adel,"['aristokrati', 'överklass']"
adelsman,"['aristokrat', 'friherre', 'ädling', 'baron']"
adept,['elev']
aderton,['arton']
adhesion,['vidhäftning']
adjö,"['hej då', 'farväl']"
administration,"['förvaltning', 'administrering']"
administrativ,['påslag']
administrator,['administratör']
administratör,"['förvaltare', 'administrator']"
administrera,"['handha', 'ordna', 'sköta']"
administrering,"['administration', 'förvaltning']"
adressat,['mottagare']
advokat,"['försvarare', 'jurist', 'skurk']"
affektera,"['påverka', 'beröra']"
affekterad,['påverkad']
affekteras,['beröra']
affisch,"['anslag', 'plakat', 'plansch', 'poster']"
affär,"['förhållande', 'rörelse', 'shop', 'handelsbod', 'butik']"
affärer,['handel']
affärsmässig,['kommersiell']
affärsrörelse,['affärsverksamhet']
affärsverksamhet,"['firma', 'handel', 'företag', 'rörelse', 'affärsrörelse']"
afton,['kväll']
