word,synonyms
абетка,['див азбука']
абетковий,['див азбучний']
абихто,['див будьхто']
абищиця,['див дрібниця']
абищо,['див щонебудь']
абияк,['див якнебудь']
абиякий,"['якийнебудь', 'будьякий', 'дещо зневажливо сякийтакий', 'дещо зневажливо такийсякий']"
абориген,['див житель']
абсолютний,['див повний']
абсолютно,['див зовсім']
абсорбуючий,"['здатний абсорбувати', 'абсорбційний', 'абсорбент']"
абстрагуючий,"['здатний абстрагувати', 'абстракційний']"
абсурд,['див безглуздя']
абсурдний,['див безглуздий']
авансуючий,"['авансодавець', 'згодний авансувати', 'авансувальний']"
авіатор,['див льотчик']
автентичний,['див справжній']
автобіографія,['див біографія']
автограф,"['див рукопис', 'див підпис']"
автоматизуючий,"['здатний автоматизувати', 'автоматизаційний', 'для автоматизації']"
автомобіль,"['легковий розм авто', 'легковий машина', 'пор грузовик']"
авторитет,['див знавець']
автострада,['див дорога']
автохтон,['див житель']
автохтонний,['див тубільний']
агент,['див сищик']
агітуючий,"['агітатор', 'агітаційний', 'зайнятий агітацією']"
агонізуючий,"['агонійний', 'охоплений агонією', 'в агонії']"
адаптуючий,"['здатний адаптувати', 'адаптаційний', 'адаптувальний', 'техн адаптор']"
адвокат,['див оборонець']
адресуючий,"['звиклий адресувати', 'адресант', 'адресувальний', 'для адресування']"
аероплан,['див літак']
азбука,"['абетка', 'алфавіт']"
азбучний,"['абетковий', 'алфавітний']"
акліматизуючий,"['здатний акліматизувати', 'акліматизатор', 'акліматизаційний', 'для акліматизації']"
акомпануючий,"['акомпаньятор', 'пригравач', 'для акомпанування']"
акредитуючий,"['призначений акредитувати', 'акредитаційний', 'для акредитації']"
активізуючий,"['здатний активізувати', 'активізатор', 'активізаційний', 'для активізації']"
активний,"['див діяльний', 'див дійовий']"
активуючий,"['здатний активувати', 'активатор', 'активаційний', 'для активації']"
актор,['див артист']
акторка,['див артистка']
актуальний,['див злободенний']
акула,['див хижак']
акумулюючий,"['здатний акумулювати', 'акумулятор', 'акумуляційний', 'для акумуляції']"
акуратний,"['у виконуванні обов’язків старанний', 'у виконуванні обов’язків ретельний', 'розм справний']"
акуратність,['див старанність']
акуратно,['див старанно']
акцент,['наголос']
алкоголік,['див п’яниця']
альманах,['збірник']
альтернуючий,"['навперемінний', 'наворотливий', 'наворотний', 'альтернаційний', 'здатний чергуватися']"
алфавіт,['див азбука']
алфавітний,['див азбучний']
аматор,['любитель']
аматорка,['любителька']
амбар,['див комора']
амбіція,['див самолюбство']
аналгезуючий,"['протибольовий', 'аналгетичний']"
аналізуючий,"['здатний аналізувати', 'зайнятий аналізою', 'аналітик', 'аналітичний']"
аналогічний,['див подібний']
аналогія,['див подібність']
анахорет,['див самітник']
антиквар,['див книгар']
антикварій,['див книгар']
антипатичний,['див несимпатичний']
антипко,['див чорт']
анулювання,['див скасування']
анулювати,['див касувати']
анцибол,['див чорт']
анциболот,['див чорт']
анциболотник,['див чорт']
апатичний,['див байдужий']
апатично,['див байдуже']
арапник,['див батіг']
арба,['див віз']
аргамак,['див румак']
арго,['див жаргон']
аргумент,['див довід']
арештант,['див в’язень']
арештантська,"['образно розм холодна', 'образно буцегарня', 'образно каталажка', 'образно кутузка', 'дорев каземат']"
арештантський,['див тюремний']
арідник,['див чорт']
армієць,['див солдат']
армія,['див військо']
аромат,['див запах']
ароматний,['див запашний']
артилерист,"['гармаш', 'гарматник', 'в особовому складі батареї батареєць', 'іст пушкар', 'іст канонір']"
артист,"['театру актор', 'заст, ірон лицедій']"
артистичний,['див мистецький']
артистка,"['актриса', 'акторка', 'лицедійка', 'пор артист']"
архаїчний,['див застарілий']
атака,['див наступ']
атакувати,['див наступати']
атеїст,"['безвірник', 'невіруючий', 'рідше безбожник']"
атеїстка,"['безвірниця', 'невіруюча', 'рідше безбожниця']"
ательє,['див майстерня']
атестат,['див посвідка']
атлет,['див силач']
атрамент,['див чорнило']
баба,"['про жінку в похилому віці – ще старуха', 'про жінку в похилому віці – ще бабка', 'пестл бабонька', 'пестл бабуня', 'пестл бабуся', 'пестл бабусенька', 'пестл бабусечка', 'пестл старенька', 'пор жінка', 'пор знахарка', 'пор довбня']"
баба-сповитуха,['див повитуха']
бабахати,"['про звук пострілу бахати', 'сильніше бахкати', 'сильніше бабахкати', 'сильніше бухати', 'пор стріляти']"
бабахнути,"['див тарахнути', 'див упасти']"
баба-яга,['див чарівниця']
бабитися,['див морщитися']
бабіти,['див морщитися']
бабка,['див баба']
баблятися,['див бабратися']
бабонька,['див баба']
бабрати,['див бруднити']
бабратися,"['длубатися', 'обл баблятися']"
бабуня,['див баба']
бабусенька,['див баба']
бабусечка,['див баба']
бабуся,['див баба']
бавити,['див забавляти']
бавитися,"['забавлятися', 'про дітей – ще гратися', 'про старших розважатися']"
багатий,"['що живе в достатку заможний', 'книжн імущий клас', 'заст маєтний', 'заст маючий', 'дуже багатий багатющий', 'на гроші розм грошовитий', 'пор рясний']"
багатир,['див багач']
багатирка,['див багачка']
багатій,['див багач']
багатійка,['див багачка']
багатіти,"['щораз більше багатшати', 'щораз більше багатішати', 'про накопичування майна і под – ще розживатися', 'ставати заможним заможніти', 'примножуючи багатства збагачуватися', 'нечесним способом наживатися']"
багато,"['розм багацько', 'доволі багато чимало', 'у значенні кількісного слова розм – зрідка купа', 'у значенні кількісного слова розм – зрідка сила', 'дуже багато безліч', 'дуже багато силасиленна', 'дуже багато маса', 'дуже багато тьма', 'дуже багато тьматьмуща', 'дуже багато видимоневидимо', 'хмара', 'фам достобіса', 'пор значно']"
багатобарвний,"['різнобарвний', 'багатоколірний', 'різноколірний', 'про яскравість кольорів барвистий', 'про яскравість кольорів квітчастий', 'про яскравість кольорів кольористий']"
багатобарвність,"['багатоколірність', 'барвистість', 'квітчастість', 'кольористість', 'пор багатобарвний']"
багатознаменний,['див знаменний']
багатозначний,"['з особливим значенням – про погляд, усмішку тощо значущий', 'з особливим значенням – про погляд, усмішку тощо значливий', 'з особливим виразом – ще промовистий', 'з особливим виразом – ще вимовний', 'про очі, погляд – ще виразистий']"
багатозначно,"['значуще', 'значливо', 'промовисто', 'вимовно', 'виразисто', 'пор багатозначний']"
багатоколірний,['див багатобарвний']
багатоколірність,['див багатобарвність']
багатолистий,['див ряснолистий']
багатолітній,['див довголітній']
багатолюдний,"['людний', 'заст, уроч велелюдний', 'про країну густонаселений']"
багатомовний,"['про балакуна велемовний', 'про балакуна великомовний', 'розм просторікуватий']"
багатообіцяючий,"['повен надій', 'перспективний', 'з великими надіями']"
багаторазовий,"['про дещо меншу кількість кількаразовий', 'про дещо меншу кількість неодноразовий', 'про дещо меншу кількість неоднократний', 'що буває нерідко частий']"
багаторазово,['див часто']
багаторічний,['див довголітній']
багатство,['див достаток']
багаття,['див вогнище']
багатшати,['див багатіти']
багатющий,['див багатий']
багацько,['див багато']
